ca,ce,bug
1,8,0
0,9,0
6,2,0
0,7,0
4,2,0
1,2,0
1,2,0
1,5,0
0,6,0
2,16,1
0,8,0
1,15,1
1,5,0
29,3,0
0,8,2
6,4,0
26,8,0
0,3,0
1,8,0
0,9,0
0,5,0
1,0,0
2,0,0
3,8,0
17,8,0
0,2,0
23,2,0
4,1,0
0,7,1
1,5,0
0,1,0
1,1,0
3,1,0
11,17,1
13,7,0
1,1,0
1,6,0
96,6,0
17,2,0
1,2,0
4,5,1
8,1,1
10,1,0
0,8,0
4,1,0
0,6,0
6,14,0
3,10,0
0,2,0
59,1,0
0,11,0
0,3,1
0,4,0
4,0,0
1,2,1
1,0,0
1,13,0
1,4,0
1,3,1
0,5,2
0,1,0
114,12,0
1,4,0
1,0,0
0,13,0
1,7,1
5,6,0
0,19,0
7,2,0
20,1,0
1,3,0
3,2,0
3,8,0
0,5,0
2,3,0
0,7,0
0,7,1
5,0,0
2,7,1
6,5,0
3,18,0
1,3,1
1,6,1
1,0,0
0,13,1
0,4,0
1,6,0
1,7,0
23,8,0
4,14,3
0,4,0
0,8,0
0,2,0
4,7,0
1,9,3
0,8,0
1,3,1
3,1,0
0,9,1
10,0,0
5,1,0
8,1,0
4,2,0
1,9,0
1,0,0
0,8,0
0,3,0
17,0,0
0,7,1
1,10,0
6,28,0
0,15,1
4,1,0
0,4,0
1,8,1
9,4,0
2,10,0
0,10,0
1,1,0
135,1,0
1,6,1
0,7,0
20,7,0
1,15,2
0,3,0
0,2,0
1,8,0
1,9,0
1,1,0
1,2,0
6,0,0
3,8,0
1,3,0
5,3,0
4,3,0
1,2,0
0,1,0
1,6,1
0,3,0
5,10,1
58,0,0
0,8,1
6,1,0
1,8,0
2,0,0
3,4,1
0,0,0
1,13,1
0,5,0
0,0,0
1,0,0
11,14,1
0,10,1
2,0,0
2,1,0
1,11,1
0,4,1
2,0,0
10,4,0
0,9,1
10,6,0
0,3,0
0,1,0
6,3,0
1,4,0
2,10,1
1,6,0
1,0,0
1,2,0
1,2,1
1,6,0
1,0,0
0,5,1
4,4,0
4,12,0
22,27,0
8,14,1
0,3,0
