wmc,rfc,ce,npm,lcom3,loc,dam,moa,cam,ic,bug
9,34,9,6,0.8125,166,1.0,0,0.4,4,1
8,37,7,7,0.7142857140000001,277,1.0,0,0.46875,4,0
4,39,8,4,0.333333333,200,1.0,0,0.5,1,0
15,77,16,10,0.826530612,504,1.0,0,0.233333333,1,0
15,37,2,14,0.6964285709999999,437,0.75,1,0.311111111,1,0
1,1,1,1,2.0,1,0.0,0,1.0,0,0
18,56,10,15,0.882352941,460,1.0,0,0.37777777799999995,0,0
2,7,3,2,2.0,23,0.0,0,1.0,0,0
4,4,1,4,2.0,4,0.0,0,0.5,0,0
16,56,17,10,0.745454545,757,1.0,4,0.19375,3,0
7,21,7,7,0.625,144,1.0,0,0.342857143,1,0
5,5,0,5,2.0,5,0.0,0,0.533333333,0,0
3,21,6,3,0.0,146,1.0,0,0.666666667,0,0
1,1,1,1,2.0,1,0.0,0,1.0,0,0
7,17,4,5,0.7777777779999999,107,1.0,0,0.47619047600000003,2,0
3,9,2,3,0.0,47,1.0,0,0.666666667,0,0
6,33,10,6,0.6,511,1.0,0,0.5555555560000001,1,0
10,36,12,10,0.583333333,246,1.0,2,0.26666666699999997,1,0
20,67,13,16,0.8468899520000001,812,1.0,4,0.25,1,0
1,1,1,1,2.0,1,0.0,0,1.0,0,0
28,96,13,22,0.592592593,1047,0.5,1,0.126984127,2,0
8,26,5,5,0.571428571,164,1.0,0,0.375,2,0
4,16,6,4,0.333333333,46,1.0,0,0.625,1,0
6,8,1,6,0.0,43,1.0,1,0.666666667,0,0
3,26,8,2,2.0,147,0.0,0,1.0,1,0
8,23,5,8,0.761904762,198,0.5,0,0.35,1,0
4,15,3,4,0.333333333,109,1.0,0,0.5,0,1
3,20,4,1,1.5,124,1.0,0,1.0,2,0
18,82,12,11,0.9601518029999999,1238,1.0,1,0.181818182,2,1
3,3,1,3,2.0,3,0.0,0,0.666666667,0,0
2,3,0,2,2.0,7,0.0,0,0.75,1,0
3,17,1,3,0.25,196,1.0,0,0.666666667,0,0
15,47,8,12,0.865079365,452,1.0,1,0.225,1,0
1,1,2,1,2.0,1,0.0,0,1.0,0,0
3,24,5,1,1.5,163,1.0,0,1.0,2,0
13,66,7,12,1.083333333,476,0.0,0,0.20769230800000002,0,0
4,21,4,2,2.0,91,0.0,0,0.75,0,0
27,60,9,26,0.648351648,401,1.0,4,0.314814815,0,0
7,19,4,5,0.523809524,285,1.0,0,0.47619047600000003,2,0
1,1,1,1,2.0,1,0.0,0,1.0,0,0
5,37,5,2,0.5,250,1.0,0,0.5,1,0
12,64,11,9,0.6181818179999999,581,1.0,0,0.23809523800000001,0,0
11,15,4,11,0.75,97,1.0,3,0.22077922100000003,0,0
21,83,13,8,0.78,799,1.0,5,0.18650793699999998,3,0
21,56,11,19,0.7875,715,1.0,0,0.28571428600000004,3,0
3,22,8,2,0.0,104,1.0,1,0.5,2,0
6,32,9,6,0.6,216,1.0,2,0.333333333,2,0
20,42,4,18,0.736842105,376,1.0,1,0.284210526,0,0
4,15,4,4,0.833333333,70,0.5,0,0.583333333,0,0
8,26,5,5,0.571428571,167,1.0,0,0.375,2,0
36,84,24,35,0.485714286,302,1.0,1,0.0875,2,0
27,87,17,20,0.8704453440000001,919,1.0,2,0.212962963,2,0
5,6,0,5,0.5,30,1.0,0,0.7,0,0
2,4,4,1,2.0,11,0.0,0,0.666666667,0,0
3,7,0,3,0.0,19,1.0,0,0.666666667,0,0
10,20,2,9,0.6,130,1.0,0,0.4,1,0
4,23,2,1,0.333333333,174,1.0,0,0.583333333,0,0
3,12,4,1,2.0,40,0.0,0,0.666666667,0,0
5,11,2,5,0.25,54,1.0,0,0.533333333,0,0
17,57,15,15,0.583333333,298,1.0,1,0.264705882,4,0
6,24,0,5,1.0,116,0.0,0,0.3,0,0
9,41,4,8,0.791666667,334,1.0,0,0.355555556,1,1
6,24,4,5,0.8,231,0.5,0,0.26666666699999997,1,1
7,22,4,5,0.5555555560000001,150,1.0,0,0.47619047600000003,2,0
2,13,6,2,2.0,66,1.0,0,1.0,0,0
