wmc,cbo,rfc,lcom,ce,npm,loc,dam,moa,cam,max_cc,avg_cc,bug
3,3,19,0,3,2,104,0.5,0,0.666666667,1,0.6667,0
3,6,14,3,2,3,52,0.0,0,0.5555555560000001,3,1.6667,0
10,15,39,19,12,8,344,0.25,1,0.228571429,3,1.1,0
24,17,118,72,15,17,1066,0.916666667,1,0.185185185,6,1.7083,2
12,3,22,44,2,5,156,1.0,1,0.261904762,4,1.25,0
19,10,61,135,10,16,504,1.0,0,0.37894736799999995,13,1.9474,0
2,3,7,1,3,2,23,0.0,0,1.0,1,0.5,0
3,4,6,0,3,3,30,1.0,0,0.666666667,2,1.0,0
23,22,77,149,20,16,1164,1.0,4,0.14285714300000002,19,2.3043,0
12,11,38,2,10,8,224,1.0,0,0.197916667,4,1.8333,2
7,2,8,0,0,1,1082,0.0,0,0.666666667,2,0.8571,0
20,13,97,116,13,16,895,1.0,0,0.19,1,0.95,2
9,8,23,0,3,8,148,1.0,1,0.288888889,4,1.3333,0
3,5,7,1,4,3,29,1.0,0,0.666666667,1,0.6667,0
30,31,65,303,4,26,634,1.0,0,0.17733990100000002,18,2.2333,1
3,7,11,3,3,3,37,0.0,0,1.0,2,1.3333,0
30,15,109,395,13,13,929,0.5555555560000001,4,0.211206897,8,1.9667,0
8,9,29,0,8,5,187,1.0,0,0.375,4,1.125,0
9,17,73,14,16,4,432,1.0,5,0.275,1,0.7778,1
23,15,88,201,15,19,541,1.0,1,0.144927536,13,2.1304,0
1,16,1,0,1,1,1,0.0,0,1.0,1,1.0,0
30,51,102,301,13,24,1238,0.5,1,0.12183908,15,2.6333,0
8,6,26,0,5,5,172,1.0,0,0.375,4,1.125,0
3,3,10,0,3,3,32,1.0,0,0.666666667,1,0.6667,0
6,1,8,0,1,6,43,1.0,1,0.666666667,1,0.8333,0
3,9,28,3,8,2,155,0.0,0,1.0,11,4.0,1
13,11,34,68,7,12,199,1.0,0,0.292307692,5,2.1538,0
8,10,23,0,5,8,198,0.5,0,0.35,6,2.25,0
6,9,22,0,5,6,105,0.5,0,0.333333333,4,1.6667,0
3,4,21,3,4,1,144,1.0,0,1.0,9,3.3333,0
5,5,15,4,5,5,90,1.0,0,0.533333333,1,0.8,0
3,3,3,3,1,3,3,0.0,0,0.666666667,1,1.0,0
2,0,3,1,0,2,7,0.0,0,0.75,1,0.5,0
3,3,17,0,1,3,204,1.0,0,0.666666667,2,1.0,0
22,17,73,151,15,14,618,1.0,0,0.22159090899999997,7,1.6364,1
1,8,1,0,2,1,1,0.0,0,1.0,1,1.0,0
4,6,14,2,5,4,68,1.0,1,0.5,1,0.75,0
3,5,25,3,5,1,191,1.0,0,1.0,13,4.6667,0
18,23,68,151,9,17,413,0.166666667,0,0.152777778,4,1.5,1
8,2,39,10,2,8,308,1.0,0,0.325,4,1.25,0
20,3,50,74,2,18,721,1.0,2,0.28125,7,2.4,1
35,12,79,333,11,31,487,1.0,6,0.16785714300000001,7,1.7143,3
10,6,30,0,5,6,328,1.0,1,0.375,12,2.3,0
4,4,13,0,3,4,87,1.0,0,0.75,1,0.5,0
53,37,119,1112,9,28,1739,1.0,2,0.244505495,23,2.8113,2
15,8,23,67,2,9,170,1.0,0,0.5166666670000001,2,1.0,1
7,5,8,3,0,7,47,1.0,0,0.47619047600000003,1,0.8571,0
10,10,33,35,10,6,165,1.0,1,0.351851852,2,0.9,0
17,15,62,78,14,12,416,0.8,1,0.20588235300000002,16,2.8235,0
8,7,39,4,7,7,277,1.0,0,0.46875,5,1.375,0
5,8,41,0,8,5,230,1.0,0,0.4,1,0.8,0
19,14,45,25,10,16,458,0.8,0,0.298245614,4,1.8421,3
17,4,58,130,4,5,630,0.25,0,0.129411765,4,2.1176,1
4,4,5,0,1,4,24,1.0,0,0.875,1,0.75,0
4,1,13,6,1,4,45,0.0,0,0.625,2,1.0,0
2,4,15,1,4,0,59,0.0,0,0.666666667,1,0.5,0
50,55,123,919,30,47,918,1.0,1,0.064444444,6,1.88,2
8,15,77,6,14,5,585,1.0,1,0.35,10,3.875,2
42,39,96,0,28,40,328,1.0,1,0.073412698,6,1.1667,0
31,20,97,307,17,24,1137,1.0,2,0.20967741899999998,18,1.871,4
1,1,2,0,1,1,4,0.0,0,1.0,0,0.0,0
1,3,2,0,1,1,4,0.0,0,1.0,0,0.0,0
4,6,14,0,6,3,96,1.0,1,0.5,5,1.75,0
9,0,23,0,0,9,250,1.0,0,0.38888888899999996,1,0.7778,0
4,3,25,4,2,1,183,1.0,0,0.583333333,3,1.25,0
2,9,28,1,8,2,268,0.0,0,1.0,1,0.5,1
6,5,35,0,5,3,300,1.0,0,0.444444444,1,0.8333,0
5,35,11,4,2,5,54,1.0,0,0.533333333,1,0.6,0
18,15,58,39,15,16,316,1.0,1,0.268518519,4,1.2222,0
5,8,12,2,2,5,49,1.0,0,0.46666666700000003,1,0.8,0
2,1,6,1,1,1,20,0.0,0,0.75,1,0.5,0
4,6,10,0,2,4,125,1.0,0,0.5,2,1.0,0
7,6,26,15,5,6,237,0.5,0,0.28571428600000004,1,0.8571,0
16,15,56,86,12,6,372,1.0,2,0.226666667,14,2.0,0
7,24,8,3,0,7,43,1.0,0,0.7142857140000001,1,0.8571,0
33,29,100,420,25,22,1585,0.333333333,0,0.28125,17,2.1818,3
3,8,20,3,7,2,151,0.0,0,0.5,1,0.6667,0
3,32,9,3,4,2,23,0.0,0,0.666666667,2,0.6667,0
3,3,8,0,1,3,32,1.0,0,0.5555555560000001,1,0.6667,0
31,5,68,407,3,13,624,0.904761905,2,0.316129032,11,1.4516,0
17,19,67,112,13,14,468,1.0,1,0.18300653600000003,16,2.7059,2
1,2,1,0,0,1,1,0.0,0,1.0,1,1.0,0
10,4,30,27,3,5,252,1.0,1,0.283333333,2,1.0,0
16,13,39,80,7,12,341,0.857142857,0,0.28571428600000004,8,1.75,1
16,3,41,84,2,16,559,1.0,2,0.25,1,0.8125,3
3,7,14,0,3,2,92,1.0,1,0.5555555560000001,8,3.0,0
7,9,7,21,1,7,7,0.0,0,1.0,1,1.0,0
5,3,9,0,2,5,64,1.0,0,0.533333333,1,0.8,0
8,11,45,16,10,4,216,0.6,0,0.270833333,4,1.875,0
14,18,63,65,13,2,322,1.0,3,0.23076923100000002,2,0.9286,1
12,2,42,0,1,12,236,1.0,0,0.444444444,4,1.5833,1
6,2,11,3,1,3,56,1.0,0,0.666666667,1,0.8333,0
2,5,15,1,5,1,67,0.0,0,1.0,4,2.0,0
5,7,5,10,1,5,5,0.0,0,0.4,1,1.0,0
8,2,33,4,1,5,269,0.7142857140000001,1,0.41666666700000005,4,1.75,0
7,14,26,0,9,7,199,1.0,2,0.39285714299999996,5,2.5714,0
5,6,13,0,1,5,69,1.0,0,0.533333333,3,1.2,0
14,8,34,65,8,14,404,1.0,1,0.595238095,2,1.0,0
7,2,7,21,0,7,7,0.0,0,0.642857143,1,1.0,0
30,14,89,301,13,30,844,0.826086957,2,0.207407407,39,2.5,0
4,2,7,6,1,4,20,0.0,0,0.875,1,0.75,0
1,1,2,0,1,1,4,0.0,0,1.0,0,0.0,0
