wmc,cbo,rfc,ce,npm,loc,moa,cam,bug
7,6,19,6,6,117,2,0.36666666700000006,0
13,1,17,1,12,117,0,0.46153846200000004,0
7,48,12,1,6,44,0,0.45833333299999995,0
4,4,4,2,4,4,0,1.0,0
4,2,8,1,4,20,0,0.666666667,0
3,8,14,5,3,85,0,0.5,1
5,2,6,1,5,25,1,0.46666666700000003,0
10,6,31,6,9,156,1,0.355555556,2
9,6,9,3,9,9,0,0.425925926,0
15,6,19,2,15,123,2,0.20952381,0
30,1,34,1,29,266,0,0.433333333,0
38,30,155,30,34,1564,7,0.138314785,1
10,4,19,2,10,115,3,0.35,0
3,3,9,3,3,40,0,0.5,0
11,8,18,1,11,130,1,0.287878788,0
10,14,29,9,6,150,0,0.44,0
3,3,10,3,3,33,0,0.833333333,0
35,29,121,29,31,1250,5,0.165966387,1
13,6,35,6,13,254,0,0.259615385,0
1,2,2,2,1,4,0,1.0,0
7,13,7,0,7,7,0,0.46428571399999996,0
9,6,15,1,9,101,1,0.36111111100000004,0
18,17,46,17,17,277,4,0.21176470600000002,1
8,4,15,0,8,82,0,0.34375,0
4,3,7,0,2,122,10,0.444444444,0
5,18,41,18,4,157,0,0.5,0
1,1,2,0,1,5,0,1.0,0
14,8,42,8,13,280,3,0.24175824199999998,0
3,3,5,3,3,14,0,0.5,1
1,2,2,2,1,4,0,1.0,0
1,3,1,1,1,1,0,1.0,0
8,5,14,2,8,122,2,0.40625,0
2,4,2,2,2,2,0,0.666666667,0
5,11,27,11,5,138,2,0.333333333,0
19,12,23,4,18,242,2,0.37037037,0
1,4,1,3,1,1,0,1.0,0
18,9,38,3,15,239,2,0.242647059,0
9,7,9,3,9,9,0,0.28571428600000004,0
6,11,26,11,4,103,0,0.5,0
3,5,11,1,3,33,0,0.5555555560000001,0
4,4,14,4,4,68,0,0.4375,0
55,74,63,3,55,318,5,0.11328671300000001,0
23,23,66,23,21,439,6,0.16558441599999998,0
28,27,28,3,28,28,0,0.228571429,0
4,1,10,1,4,49,0,0.4375,0
5,1,41,1,2,236,0,0.35,0
12,6,12,3,12,12,0,0.333333333,0
16,18,23,3,16,122,3,0.1796875,0
3,2,5,2,3,11,0,0.5,0
2,1,6,0,2,20,0,0.5,0
2,5,2,2,2,2,0,1.0,0
4,4,14,4,4,73,0,0.4375,0
21,4,25,0,21,153,0,0.210884354,0
0,3,0,1,0,0,0,0.0,0
25,13,74,13,23,901,2,0.204545455,2
13,19,56,19,11,224,4,0.173076923,2
14,4,21,2,14,161,0,0.47619047600000003,0
4,5,4,1,4,4,0,0.45,0
1,1,2,1,1,7,1,1.0,0
3,3,5,3,3,14,0,0.5,0
1,2,2,2,1,4,0,1.0,0
6,2,6,0,6,6,0,0.916666667,0
3,11,21,11,3,73,0,0.833333333,0
13,8,13,6,13,13,0,0.326923077,0
12,3,22,3,12,124,1,0.27777777800000003,0
2,5,10,5,2,34,0,0.75,0
2,2,5,1,2,11,0,0.75,0
3,6,3,0,3,3,0,0.666666667,0
5,6,24,4,4,118,0,0.41666666700000005,0
3,7,3,3,3,3,0,0.583333333,0
2,3,6,1,2,21,0,0.75,0
7,3,11,3,6,61,0,0.541666667,0
2,3,2,1,2,2,0,1.0,0
10,6,10,4,10,10,0,0.4,2
8,16,21,3,8,111,0,0.34375,1
7,1,11,1,6,57,0,0.428571429,0
28,25,92,25,27,487,7,0.140740741,0
26,8,33,3,26,172,4,0.132867133,0
25,26,99,26,22,653,6,0.12745098,0
18,22,92,14,17,643,0,0.303921569,0
3,6,22,5,3,129,0,0.5,0
9,8,33,8,8,362,3,0.375,0
8,5,15,1,8,71,1,0.34375,0
31,11,35,2,31,206,4,0.148387097,0
7,2,20,1,7,96,0,0.39285714299999996,0
3,3,5,3,3,14,0,0.5,1
2,5,10,5,2,35,0,0.75,0
2,2,3,2,2,10,1,0.75,0
7,4,7,2,7,7,0,0.35714285700000004,1
4,2,4,0,4,4,0,0.875,0
22,16,114,16,11,746,3,0.13968254,1
21,3,24,0,21,113,0,0.35714285700000004,0
3,4,3,1,3,3,0,1.0,0
16,21,56,21,14,565,0,0.3125,0
26,11,65,11,24,669,2,0.302222222,0
5,5,10,5,4,29,1,0.4375,0
2,12,14,12,2,31,0,0.75,0
10,7,28,7,9,121,2,0.317460317,0
5,3,5,0,5,5,0,0.533333333,0
0,1,0,0,0,0,0,0.0,0
16,5,24,2,16,126,2,0.1796875,0
5,7,16,3,5,79,0,0.333333333,0
6,8,6,5,6,6,0,0.452380952,0
4,11,17,9,4,74,1,0.5,0
3,2,19,2,3,74,0,0.5,0
23,5,24,0,23,114,0,0.295652174,0
1,3,1,1,1,1,0,1.0,0
1,0,2,0,1,5,0,1.0,0
5,4,13,1,5,38,0,0.533333333,0
19,1,23,1,18,177,0,0.473684211,0
13,6,14,1,13,82,1,0.35384615399999997,0
22,18,72,18,16,679,3,0.179487179,1
5,5,18,5,4,73,1,0.583333333,0
1,2,2,2,1,4,0,1.0,0
10,6,18,6,9,93,3,0.26984127,0
6,5,15,5,5,87,1,0.5,0
13,7,32,7,11,186,1,0.46153846200000004,0
1,2,2,2,1,4,0,1.0,0
0,3,0,1,0,0,0,0.0,0
8,3,14,2,8,122,2,0.40625,0
7,4,12,1,7,85,0,0.571428571,0
0,3,0,1,0,0,0,0.0,0
4,2,11,2,4,51,0,0.4375,0
2,2,2,0,2,2,0,0.75,0
6,7,23,7,6,164,0,0.38888888899999996,0
24,9,33,2,24,166,2,0.182291667,0
11,6,44,6,11,180,0,0.545454545,0
1,1,2,0,1,4,0,1.0,0
7,7,16,7,6,92,2,0.36666666700000006,0
11,4,15,0,11,103,0,0.290909091,0
2,1,8,0,2,32,0,0.5,0
43,22,110,22,40,1202,9,0.131578947,0
4,8,12,8,4,56,0,0.875,1
4,1,8,0,4,20,0,0.666666667,0
3,2,12,1,3,33,0,0.5555555560000001,0
6,13,30,13,2,131,1,0.46666666700000003,0
18,11,46,11,18,174,4,0.194444444,0
4,4,6,4,4,26,1,0.4,1
5,3,10,3,3,26,0,0.5,0
20,19,68,19,16,562,8,0.148606811,0
3,4,4,1,3,14,0,0.666666667,0
41,36,166,36,37,2090,9,0.126388889,0
20,9,20,5,20,20,0,0.407142857,0
3,4,10,4,3,27,0,0.833333333,0
14,15,21,1,14,112,1,0.28571428600000004,0
7,11,33,11,7,194,2,0.25,0
7,1,11,0,7,83,0,0.35714285700000004,0
7,6,7,3,7,7,0,0.46428571399999996,2
9,19,36,19,9,175,0,0.314814815,1
15,2,19,2,15,123,2,0.20952381,0
3,4,3,2,3,3,0,0.666666667,0
1,2,1,1,1,1,0,1.0,0
8,2,26,2,7,127,0,0.452380952,0
13,5,19,1,13,84,2,0.23076923100000002,0
13,24,13,5,13,13,0,0.32967033,0
12,9,29,8,9,199,0,0.43181818200000005,0
5,4,21,2,5,99,0,0.45,0
2,6,2,2,2,2,0,1.0,0
11,2,30,2,9,196,0,0.363636364,0
1,3,1,1,1,1,0,1.0,0
29,24,91,24,19,641,6,0.16091954,1
4,3,8,1,4,20,0,0.666666667,0
17,4,33,4,12,254,0,0.198529412,0
1,6,1,3,1,1,0,1.0,0
13,9,26,3,12,183,1,0.27777777800000003,0
11,10,11,7,11,11,0,0.33766233799999995,1
17,27,25,4,17,158,1,0.245098039,0
8,3,18,3,8,43,0,0.4375,0
