wmc,cbo,npm,mfa,bug
4,6,4,0.896551724,0
6,21,2,0.8,0
2,3,1,0.833333333,0
26,10,24,0.0,0
4,4,3,0.8888888890000001,0
8,6,8,0.9090909090000001,0
13,18,1,0.4,0
13,66,13,0.0,1
2,4,2,0.0,0
6,13,4,0.8,0
25,18,20,0.233333333,0
2,2,2,0.944444444,0
7,7,5,0.538461538,0
3,2,3,1.0,0
6,2,5,0.0,0
19,20,18,0.4375,0
7,11,6,0.375,0
3,9,3,0.0,0
0,27,0,0.0,0
2,6,2,0.961538462,0
12,8,9,0.52173913,0
2,2,2,0.944444444,0
14,6,13,0.636363636,0
0,1,0,0.0,0
11,15,9,0.523809524,0
13,14,11,0.45,0
3,5,2,0.9411764709999999,0
13,8,11,0.65625,0
4,5,4,0.0,0
12,11,8,0.571428571,0
3,4,2,0.0,0
16,8,12,0.65,0
7,3,7,0.333333333,0
8,11,7,0.0,0
1,5,1,0.0,0
3,5,3,0.0,0
2,1,2,0.0,0
3,4,3,0.894736842,0
2,4,2,0.9859154929999999,0
5,4,5,0.9024390240000001,0
4,11,1,0.833333333,0
4,4,4,0.0,0
15,16,15,0.5,0
7,5,5,0.5,0
4,6,2,0.95890411,0
15,14,8,0.571428571,0
2,2,2,0.0,0
1,1,1,0.0,0
49,13,46,0.258064516,0
9,6,9,0.578947368,0
9,22,6,0.46666666700000003,0
5,8,3,0.8,2
2,4,2,0.944444444,0
3,4,3,0.894736842,0
2,2,2,0.0,0
10,15,7,0.636363636,0
7,8,5,0.538461538,0
16,13,10,0.333333333,0
10,12,9,0.0,0
10,16,8,0.826086957,0
3,5,3,0.0,0
4,6,3,0.0,0
2,3,2,0.833333333,0
10,4,10,0.7241379309999999,0
1,2,1,1.0,0
13,16,9,0.0,0
12,4,11,0.0,0
9,5,9,0.0,0
4,4,4,0.0,0
17,84,17,0.0,1
1,0,1,0.0,0
3,7,3,0.9285714290000001,0
11,16,5,0.0,0
5,8,3,0.0,0
6,5,5,0.0,0
11,6,8,0.0,0
15,1,12,0.0,0
4,3,4,0.0,0
2,2,2,0.944444444,0
82,22,77,0.0,0
10,11,9,0.666666667,1
5,7,3,0.692307692,0
9,7,9,0.0,0
6,8,6,0.0,0
3,2,3,0.0,0
5,4,5,0.9024390240000001,0
13,7,11,0.0,1
5,15,2,0.8,0
7,1,7,0.692307692,0
34,18,28,0.304347826,0
5,6,4,0.0,0
11,14,7,0.0,0
1,4,1,0.0,0
2,7,2,0.0,0
4,12,1,0.833333333,0
8,12,6,0.666666667,0
5,1,5,0.0,0
4,5,4,0.0,0
14,6,14,0.0,0
28,23,22,0.0,1
3,4,3,0.0,0
4,33,4,1.0,0
15,8,11,0.5555555560000001,0
6,5,4,0.583333333,0
1,3,1,1.0,0
1,3,1,0.0,0
1,6,1,1.0,0
19,10,15,0.604651163,0
1,17,1,0.0,0
25,11,22,0.0,1
5,5,4,0.636363636,0
2,1,2,0.0,0
1,0,1,0.0,0
5,5,3,0.636363636,0
1,12,1,0.0,0
3,7,2,0.0,0
7,14,6,0.0,0
10,4,8,0.0,0
1,126,1,0.0,1
17,9,11,0.318181818,0
19,8,15,0.604651163,0
3,5,3,0.0,0
3,1,3,0.0,0
3,2,3,1.0,0
1,6,1,0.0,0
6,6,5,0.761904762,0
2,4,2,0.9642857140000001,0
2,3,2,0.9859154929999999,0
11,26,7,0.4375,0
10,9,10,0.0,0
2,3,2,0.9859154929999999,0
10,9,3,0.771428571,0
7,7,4,0.0,0
1,4,1,0.0,0
6,6,3,0.8,0
3,4,2,0.9411764709999999,0
15,4,13,0.0,0
6,6,6,0.933333333,0
6,9,3,0.0,0
5,9,3,0.636363636,0
3,2,3,1.0,0
7,5,5,0.0,0
6,0,6,0.0,0
1,3,1,1.0,0
3,4,3,0.894736842,0
9,9,7,0.0,0
4,9,2,0.857142857,0
13,5,11,0.65625,0
8,5,6,0.91954023,0
2,5,2,0.0,0
32,10,29,0.0,0
7,11,3,0.0,0
39,5,38,0.0,0
2,3,2,0.944444444,0
4,1,3,0.9487179490000001,0
4,8,3,0.0,0
5,12,2,0.0,0
0,1,0,0.0,0
2,3,2,0.0,0
8,4,8,0.0,0
6,6,6,0.933333333,0
9,1,9,0.0,1
19,27,8,0.0,0
2,9,2,0.0,0
5,8,4,0.636363636,0
12,16,12,0.620689655,0
13,10,9,0.38888888899999996,0
7,9,4,0.0,0
14,8,13,0.636363636,0
6,12,3,0.583333333,0
13,16,4,0.0,0
7,12,2,0.0,0
5,5,1,0.85,0
11,13,11,0.0,0
0,0,0,0.0,0
1,0,1,0.0,0
0,3,0,0.0,0
9,11,5,0.0,0
1,1,1,0.0,0
9,8,8,0.666666667,0
9,4,8,0.9117647059999999,0
3,3,3,0.0,0
3,3,2,0.6,0
3,5,3,0.875,0
3,3,3,0.0,0
2,18,2,0.0,0
11,7,7,0.0,0
1,1,1,0.0,0
2,2,2,0.0,0
7,18,6,0.0,0
3,5,1,0.882352941,0
15,29,13,0.0,0
11,17,11,0.583333333,0
3,34,3,0.0,0
5,4,3,0.7894736840000001,0
8,14,6,0.5,0
27,16,24,0.0,0
15,12,14,0.5,0
5,17,3,0.75,0
3,6,2,0.6,0
6,10,3,0.75,0
4,5,2,0.857142857,0
10,10,3,0.0,0
5,13,2,0.913043478,0
4,13,4,0.896551724,0
3,4,3,0.0,0
14,8,7,0.692307692,1
20,12,18,0.4375,0
8,26,6,0.0,1
2,1,2,0.944444444,0
3,3,3,0.0,0
6,1,6,0.692307692,0
14,15,9,0.6756756759999999,0
3,1,3,0.894736842,0
2,5,1,0.954545455,0
1,1,1,1.0,0
7,12,4,0.583333333,0
2,3,2,1.0,0
8,12,5,0.666666667,0
28,15,28,0.0,0
2,7,2,0.0,0
3,1,2,0.0,0
3,35,3,0.0,0
3,3,3,0.0,0
8,1,8,0.0,0
6,8,4,0.75,0
6,6,5,0.0,0
9,14,7,0.636363636,0
13,16,10,0.38888888899999996,0
4,1,4,0.0,0
3,3,3,0.0,0
5,12,3,0.75,0
9,5,9,0.384615385,0
5,9,4,0.842105263,0
3,10,2,0.913043478,0
5,2,5,0.0,0
4,1,3,0.894736842,0
15,185,15,0.0,0
8,13,5,0.666666667,0
15,20,10,0.35,0
2,4,2,0.0,0
16,12,11,0.35,0
6,8,5,0.0,0
4,5,4,0.0,0
6,9,3,0.75,0
22,15,18,0.3,0
23,15,19,0.565217391,0
7,6,6,0.166666667,0
2,5,2,0.0,0
5,7,5,0.896551724,0
2,2,2,0.944444444,0
2,2,2,0.944444444,0
9,16,9,0.636363636,0
6,20,4,0.583333333,0
9,99,9,0.0,0
5,10,1,0.833333333,0
6,1,5,0.0,0
35,23,33,0.29787234,0
12,10,11,0.0,0
5,6,3,0.7894736840000001,0
5,5,4,0.842105263,0
2,3,2,0.944444444,0
2,4,2,0.9859154929999999,0
14,9,9,0.65625,0
5,7,3,0.7777777779999999,0
9,6,7,0.727272727,0
15,14,15,0.5,0
2,3,1,0.9523809520000001,0
28,6,28,0.0,0
2,6,2,0.0,0
2,6,2,0.9375,0
15,10,9,0.0,0
18,44,17,0.0,0
7,8,5,0.7142857140000001,0
56,13,45,0.0,0
18,15,11,0.333333333,0
4,13,2,0.8,0
1,10,1,0.0,0
6,7,5,0.583333333,0
19,13,19,0.4375,0
2,6,2,0.0,0
9,4,9,0.75,0
3,1,3,0.0,0
20,18,14,0.672727273,0
1,4,1,1.0,0
3,8,3,0.0,0
5,6,5,0.0,0
2,6,2,0.0,0
5,14,2,0.833333333,0
10,9,10,0.0,0
7,12,6,0.7,0
2,5,2,0.0,0
4,4,1,0.842105263,0
16,2,15,0.0,0
9,8,6,0.5,0
1,1,1,0.0,0
6,6,4,0.807692308,0
10,11,6,0.46666666700000003,0
3,3,2,0.8888888890000001,0
5,7,5,0.0,0
2,2,2,0.0,0
9,7,6,0.46666666700000003,0
5,7,2,0.7894736840000001,0
32,22,25,0.184210526,1
1,5,1,0.0,0
2,4,1,0.9411764709999999,0
17,9,15,0.0,0
14,23,5,0.0,0
19,9,15,0.604651163,0
6,12,3,0.807692308,0
4,2,4,1.0,0
2,5,1,0.833333333,0
7,6,7,0.333333333,0
3,5,3,0.0,0
6,8,4,0.583333333,0
15,14,14,0.5,0
4,10,2,0.857142857,0
27,24,23,0.35897435899999997,0
4,1,3,0.9722222220000001,0
2,2,2,0.0,0
15,17,15,0.0,1
2,6,2,0.0,0
6,4,6,0.0,0
1,5,1,0.0,0
1,2,1,1.0,0
3,6,3,0.857142857,0
47,34,41,0.35714285700000004,0
12,12,4,0.41176470600000004,0
6,10,5,0.0,0
1,66,1,0.0,0
4,4,2,0.857142857,0
1,1,1,0.0,0
26,2,25,0.0,0
7,7,7,0.9259259259999999,0
14,10,10,0.0,0
3,0,3,0.0,0
2,5,2,0.0,0
3,4,3,1.0,0
18,26,18,0.0,0
