wmc,noc,rfc,npm,loc,max_cc,avg_cc,bug
9,0,24,9,213,1,0.8889,0
27,0,27,27,27,1,1.0,3
9,0,18,8,82,1,0.7778,0
7,0,50,3,198,1,0.7143,0
8,0,28,3,224,2,1.0,9
4,0,12,3,52,1,0.75,0
4,0,17,3,71,1,0.5,0
2,0,5,1,22,3,1.5,2
18,0,18,18,18,1,1.0,0
9,0,20,7,100,4,1.2222,0
7,0,17,7,66,2,1.0,0
7,0,11,6,44,1,0.7143,2
13,0,37,13,175,3,1.1538,6
6,0,31,3,143,1,0.8333,0
20,1,74,11,537,12,1.55,4
2,6,7,2,23,1,0.5,1
6,0,15,6,42,1,0.5,2
14,0,25,14,140,1,0.8571,3
2,0,6,2,22,1,0.5,0
7,0,25,5,153,4,1.2857,2
3,0,10,2,32,1,0.6667,2
19,0,32,18,174,2,1.0,0
20,0,21,20,50,1,0.9,0
8,0,32,4,237,11,3.0,2
5,3,6,3,24,1,0.8,0
6,0,16,2,59,2,0.8333,0
3,0,5,3,12,1,0.3333,0
19,15,38,16,216,5,1.4737,4
0,0,0,0,0,0,0.0,0
19,1,35,16,183,2,1.0,0
6,0,7,6,14,1,0.8333,4
3,0,6,2,33,2,1.0,1
0,0,0,0,0,0,0.0,0
2,0,5,2,17,2,1.0,0
14,0,18,14,81,1,0.9286,0
20,2,54,12,352,3,1.15,0
18,0,44,10,242,5,1.3889,1
4,15,8,4,21,0,0.0,1
6,0,10,6,50,2,1.1667,0
2,0,19,2,121,13,6.5,1
9,0,16,9,122,4,1.2222,0
9,0,14,6,57,1,0.7778,1
5,0,10,4,44,2,0.8,0
3,0,4,3,10,1,0.6667,1
3,0,3,3,3,1,1.0,0
11,0,22,11,99,5,1.2727,0
10,0,19,9,120,1,0.8,0
3,0,5,3,12,1,0.3333,0
6,0,17,4,85,1,0.8333,0
12,0,16,11,83,2,1.0,0
9,0,23,7,240,4,1.8889,1
1,0,4,1,9,0,0.0,0
22,0,42,22,182,7,1.2273,2
4,2,8,4,28,1,0.75,1
1,0,2,1,22,0,0.0,0
22,0,65,15,401,10,1.5455,7
3,0,15,0,63,1,0.6667,0
7,0,17,4,75,2,0.8571,1
7,0,13,5,41,1,0.7143,0
5,0,5,5,5,1,1.0,2
2,0,7,2,25,1,0.5,0
37,0,61,34,335,6,1.2162,8
3,0,5,3,18,1,0.6667,0
7,17,11,5,33,1,0.8571,0
28,0,58,26,303,3,1.0714,3
6,0,19,6,107,4,1.6667,0
14,1,26,12,118,3,1.1429,3
14,0,21,13,105,2,1.0,5
4,1,9,4,27,1,0.75,0
9,0,18,5,103,2,1.0,0
1,0,1,1,1,1,1.0,0
8,0,23,7,101,1,0.375,1
9,0,59,6,382,6,1.7778,0
15,1,35,5,189,4,1.0,0
0,0,0,0,0,0,0.0,0
1,0,2,1,6,0,0.0,0
3,0,6,3,31,1,0.6667,0
5,0,10,2,25,1,0.6,0
15,0,47,14,218,2,0.9333,0
13,0,23,13,70,1,0.9231,0
3,0,9,3,33,1,0.6667,1
8,0,33,1,417,8,3.625,0
11,0,30,10,212,6,1.6364,5
7,0,38,3,167,3,1.4286,0
0,0,0,0,0,0,0.0,0
15,4,30,11,146,1,0.8,0
