wmc,noc,cbo,rfc,ce,npm,loc,moa,cam,ic,cbm,max_cc,avg_cc,bug
8,0,8,31,7,1,394,0,0.347222222,1,1,7,3.125,1
5,0,9,17,8,2,97,0,0.45,0,0,2,1.0,0
1,0,0,1,0,1,1,0,1.0,0,0,1,1.0,0
13,0,41,73,41,5,344,0,0.25,1,1,5,1.6154,0
7,0,6,13,2,7,46,1,0.428571429,0,0,1,0.8571,0
6,6,11,14,4,5,52,0,0.541666667,0,0,2,1.0,0
10,0,11,25,11,8,101,0,0.314814815,0,0,1,0.7,0
18,0,29,59,28,6,350,1,0.235294118,0,0,6,1.6111,0
31,0,10,49,2,29,328,0,0.3,0,0,8,1.3548,4
5,0,12,26,10,3,154,0,0.5,1,1,1,0.6,0
6,0,15,25,13,3,88,2,0.41666666700000005,1,1,1,0.8333,2
1,0,1,2,1,1,7,0,1.0,0,0,0,0.0,0
2,0,8,11,8,2,37,1,0.666666667,0,0,1,0.5,0
9,0,14,40,12,8,244,1,0.25925925899999996,1,2,11,2.2222,0
2,0,3,4,2,2,10,0,0.666666667,0,0,1,0.5,0
4,0,4,7,1,2,56,4,0.444444444,1,1,1,0.5,0
9,0,5,24,4,9,213,0,0.37037037,0,0,1,0.8889,0
14,0,16,32,13,9,165,2,0.22115384600000002,0,0,3,1.2143,0
2,0,3,4,1,2,12,0,0.833333333,0,0,0,0.0,0
4,0,9,12,7,3,52,3,0.4,0,0,1,0.75,0
18,0,5,49,4,13,317,0,0.317647059,0,0,5,1.2778,0
5,0,2,7,2,4,25,0,0.6,0,0,1,0.8,0
2,0,6,6,5,2,31,0,0.625,0,0,1,0.5,0
0,0,2,0,1,0,0,0,0.0,0,0,0,0.0,0
3,0,4,7,3,2,27,0,0.666666667,1,1,1,0.3333,0
7,0,9,16,6,7,45,0,0.39285714299999996,3,4,1,0.5714,1
5,0,8,17,7,4,82,1,0.5,0,0,1,0.4,0
3,0,8,15,8,1,52,0,0.666666667,2,2,1,0.6667,0
7,0,7,26,6,5,152,1,0.35714285700000004,1,1,4,1.2857,0
3,0,7,10,3,2,32,0,0.666666667,0,0,1,0.6667,0
11,0,8,23,8,11,96,0,0.345454545,2,3,1,0.6364,1
2,0,6,10,5,2,46,1,0.666666667,0,0,1,0.5,0
4,0,2,5,0,4,21,0,0.75,0,0,1,0.5,0
6,0,16,52,10,3,297,0,0.35,0,0,7,3.5,0
9,0,9,20,9,6,81,0,0.325,1,1,2,0.7778,0
