wmc,noc,cbo,rfc,ca,npm,lcom3,loc,dam,moa,cam,cbm,max_cc,avg_cc,bug
5,0,7,10,1,4,0.25,43,1.0,1,0.36,2,1,0.6,0
4,0,3,5,1,3,0.666666667,17,1.0,1,0.5,0,1,0.5,0
20,0,26,95,2,13,0.842105263,433,1.0,0,0.19736842100000002,5,3,1.0,0
3,0,8,22,2,2,2.0,165,0.0,0,0.666666667,3,15,5.3333,1
8,0,25,20,22,6,0.571428571,176,1.0,0,0.25,0,1,0.75,1
3,0,6,3,5,3,2.0,3,0.0,0,1.0,0,1,1.0,0
1,0,0,2,0,0,2.0,9,0.0,0,1.0,0,0,0.0,0
6,0,9,17,2,6,2.0,46,0.0,0,0.333333333,0,4,1.3333,2
0,0,0,0,0,0,2.0,0,0.0,0,0.0,0,0,0.0,0
4,0,7,8,0,3,2.0,22,0.0,0,0.375,0,1,0.75,0
10,0,11,20,1,9,2.0,52,0.0,0,0.15,0,1,0.9,3
10,0,10,33,3,7,0.222222222,165,1.0,1,0.3,3,3,0.9,0
23,0,13,49,2,21,0.918181818,266,1.0,0,0.17676767699999998,1,1,0.8696,0
8,0,18,33,4,7,0.14285714300000002,141,1.0,0,0.3125,0,1,0.75,0
9,0,3,15,0,8,0.4375,82,1.0,2,0.41666666700000005,2,3,0.8889,1
3,2,8,16,2,2,2.0,96,0.0,0,0.533333333,0,3,1.6667,0
10,0,6,27,1,8,0.5277777779999999,168,1.0,2,0.25,2,3,1.1,1
8,0,7,33,0,1,0.571428571,415,1.0,0,0.390625,1,8,3.625,0
4,0,17,8,11,4,2.0,53,0.0,0,0.45,0,5,2.0,0
2,0,3,5,3,2,2.0,17,0.0,0,0.666666667,0,2,1.0,0
14,0,6,18,2,14,0.8307692309999999,81,1.0,5,0.297619048,0,1,0.9286,0
16,0,8,36,2,11,0.72,184,1.0,3,0.229166667,0,4,1.3125,0
4,17,66,8,66,4,1.333333333,21,1.0,0,0.666666667,0,0,0.0,0
6,0,4,10,2,6,0.6,50,1.0,1,0.5,0,2,1.1667,0
3,0,3,20,1,3,2.0,127,0.0,0,0.666666667,0,13,4.6667,0
11,0,11,17,3,8,0.7666666670000001,73,1.0,0,0.25,0,1,0.7273,2
2,0,2,2,1,2,2.0,2,0.0,0,1.0,0,1,1.0,0
3,0,2,4,1,3,0.5,15,1.0,0,0.666666667,0,1,0.6667,1
3,0,6,4,2,3,2.0,10,0.0,0,0.5555555560000001,0,1,0.6667,1
5,0,6,15,3,4,2.0,60,0.0,0,0.45,0,2,1.6,0
33,0,17,33,11,33,2.0,33,0.0,0,0.387205387,0,1,1.0,2
3,0,5,3,2,3,2.0,3,0.0,0,0.7777777779999999,0,1,1.0,0
7,0,32,61,3,3,0.6333333329999999,204,1.0,2,0.41666666700000005,0,1,0.7143,0
8,0,13,33,1,3,0.46428571399999996,294,1.0,2,0.37142857100000004,1,2,0.875,8
3,0,5,7,0,3,2.0,19,0.0,0,0.533333333,0,1,0.6667,0
11,0,14,63,1,5,0.35,416,1.0,1,0.25,0,11,1.8182,0
2,0,5,7,2,1,2.0,24,0.0,0,0.666666667,1,1,0.5,1
1,0,9,1,4,1,2.0,1,0.0,0,1.0,0,1,1.0,0
4,0,4,10,1,4,0.0,39,1.0,0,0.583333333,0,1,0.75,2
12,13,22,24,15,10,0.5,114,1.0,1,0.226190476,3,2,0.8333,0
14,0,21,43,9,13,0.641025641,208,1.0,1,0.26153846199999997,3,3,1.1429,0
4,8,13,10,11,3,0.833333333,39,1.0,1,0.625,0,1,0.5,1
3,0,8,15,0,1,2.0,49,0.0,0,0.666666667,2,1,0.6667,0
1,0,7,1,7,1,2.0,1,0.0,0,1.0,0,1,1.0,0
2,1,3,10,1,1,0.0,44,1.0,0,0.75,1,2,1.0,0
6,0,21,54,2,3,0.4,309,1.0,0,0.457142857,0,4,1.6667,0
1,0,2,3,1,1,2.0,7,0.0,0,1.0,0,0,0.0,0
7,0,8,8,2,7,0.7222222220000001,45,1.0,3,0.35714285700000004,20,1,0.8571,0
3,0,9,18,2,2,0.5,61,1.0,0,0.666666667,0,1,0.3333,0
15,1,15,29,4,12,0.7142857140000001,171,1.0,5,0.35,0,3,1.2,0
