wmc,noc,rfc,npm,loc,cam,avg_cc,bug
9,9,10,9,44,0.481481481,0.8889,0
9,0,9,9,9,1.0,1.0,0
2,0,10,1,123,1.0,0.0,0
5,0,6,5,24,0.7,0.8,0
0,0,0,0,8,0.0,0.0,0
7,0,14,7,58,0.642857143,1.0,0
12,0,18,12,100,0.283333333,1.0833,0
0,0,0,0,4,0.0,0.0,0
16,0,19,16,105,0.375,1.0,0
4,6,6,4,18,0.625,0.75,0
10,0,19,10,68,0.28571428600000004,1.0,1
8,0,16,8,47,0.333333333,0.875,0
15,0,16,15,74,0.36666666700000006,0.9333,0
0,0,0,0,7,0.0,0.0,0
3,6,6,2,21,0.75,0.3333,0
2,0,2,2,2,1.0,1.0,0
4,0,9,4,38,0.625,0.75,0
3,7,4,3,16,0.5555555560000001,0.6667,0
18,7,47,2,296,0.255555556,1.4444,0
4,0,9,4,38,0.625,0.75,0
2,0,4,2,8,1.0,0.5,0
1,0,2,1,4,1.0,0.0,0
7,0,14,7,58,0.642857143,1.0,0
1,0,2,1,4,1.0,0.0,0
11,0,12,11,54,0.363636364,0.9091,0
14,0,38,14,209,0.258928571,1.7143,0
0,0,0,0,6,0.0,0.0,0
2,3,3,2,10,0.75,0.5,0
3,0,4,3,14,0.666666667,0.6667,0
1,0,2,1,4,1.0,0.0,0
4,0,9,4,30,0.625,0.75,0
7,0,13,7,39,0.342857143,0.8571,0
21,0,48,21,181,0.206349206,1.1429,1
1,0,2,1,4,1.0,0.0,0
8,0,17,8,88,0.1875,1.625,0
8,0,16,8,47,0.333333333,0.875,0
6,0,12,6,34,0.433333333,0.8333,0
25,0,42,25,201,0.72,0.96,0
4,0,8,4,28,0.625,0.75,0
9,0,17,9,51,0.296296296,0.8889,0
6,0,20,6,83,0.433333333,0.8333,0
0,0,0,0,4,0.0,0.0,0
11,0,18,11,95,0.340909091,0.9091,0
7,0,10,7,42,0.47619047600000003,1.0,0
2,4,3,2,10,0.75,0.5,0
0,0,0,0,4,0.0,0.0,0
0,0,0,0,4,0.0,0.0,0
4,0,9,4,39,0.625,0.75,0
29,0,66,29,348,0.482758621,0.9655,2
5,0,12,5,44,0.6,1.0,0
4,0,7,4,23,0.625,0.75,0
19,0,34,19,162,0.236842105,0.9474,4
4,0,7,4,23,0.625,0.75,0
8,0,16,8,47,0.333333333,0.875,0
9,0,18,9,55,0.28571428600000004,0.8889,0
7,0,15,7,67,0.428571429,0.8571,1
9,0,15,9,68,0.444444444,0.8889,0
4,0,9,4,38,0.625,0.75,0
3,0,16,3,111,0.7222222220000001,2.0,0
14,0,28,14,126,0.452380952,1.0,0
2,0,2,2,2,1.0,1.0,0
5,0,10,3,45,0.75,0.8,0
0,0,0,0,3,0.0,0.0,0
4,0,6,4,22,0.625,0.75,0
