wmc,cbo,rfc,lcom,ce,npm,loc,dam,moa,cam,amc,max_cc,avg_cc,bug
28,32,82,374,7,24,926,0.166666667,0,0.226337449,31.64285714,23,2.6786,2
6,3,7,3,1,4,36,1.0,0,0.444444444,4.666666667,1,0.6667,0
4,5,6,4,4,2,21,1.0,1,0.5,4.0,1,0.5,0
4,9,4,6,0,4,4,0.0,0,0.666666667,0.0,1,1.0,0
1,8,1,0,2,1,1,0.0,0,1.0,0.0,1,1.0,0
23,150,67,235,5,20,653,0.75,1,0.28030303,26.86956522,9,1.8696,1
5,8,26,0,7,4,127,1.0,2,0.314285714,23.6,4,1.6,0
25,18,73,200,0,18,666,1.0,0,0.38,25.32,13,1.92,1
7,2,13,0,1,7,86,1.0,0,0.571428571,10.42857143,1,0.8571,0
21,7,22,154,2,21,141,1.0,2,0.18452381,5.2380952380000005,1,0.9524,0
2,2,4,1,1,2,11,0.0,0,0.666666667,4.5,1,0.5,0
8,10,21,28,5,7,130,0.0,0,0.3125,15.25,5,2.625,0
32,16,81,406,0,27,504,1.0,0,0.3,14.34375,1,0.9688,0
13,4,44,70,2,9,208,1.0,0,0.5625,14.84615385,1,0.8462,0
19,8,42,99,7,3,329,1.0,1,0.263157895,16.05263158,5,1.5789,2
2,6,21,1,3,1,144,0.0,0,0.5,71.0,10,5.0,0
1,4,1,0,2,1,1,0.0,0,1.0,0.0,1,1.0,0
25,10,58,234,4,23,257,1.0,1,0.32,9.08,2,1.16,0
8,12,29,0,5,8,126,1.0,1,0.41666666700000005,14.625,1,0.875,0
5,26,11,0,2,5,41,1.0,1,0.46666666700000003,6.8,1,0.8,0
3,7,8,3,0,3,34,0.0,0,0.7777777779999999,10.33333333,1,0.6667,0
4,6,10,4,5,1,27,1.0,1,0.5,5.5,1,0.5,0
5,6,6,0,1,5,32,1.0,1,0.46666666700000003,5.0,1,0.8,0
2,4,3,1,1,1,8,0.0,1,1.0,2.5,1,0.5,0
1,4,1,0,1,1,1,0.0,0,1.0,0.0,1,1.0,0
10,27,19,15,2,10,138,1.0,1,0.233333333,12.3,6,1.9,0
12,3,25,66,0,12,67,0.0,0,0.472222222,4.583333333,1,0.9167,0
