dit,cbo,rfc,ce,lcom3,dam,moa,cam,ic,cbm,max_cc,avg_cc,bug
1,9,45,6,0.7692307690000001,1.0,1,0.294871795,0,0,8,2.4286,0
2,4,21,3,0.541666667,1.0,1,0.333333333,1,3,16,4.7143,0
1,3,11,3,0.6,1.0,3,0.333333333,0,0,5,1.5,0
2,16,14,8,0.666666667,1.0,0,0.444444444,0,0,1,0.8333,0
2,5,22,4,0.125,1.0,0,0.35,1,3,11,4.0,0
2,10,21,8,0.5555555560000001,0.333333333,0,0.5,1,1,1,0.75,0
2,6,19,4,0.28571428600000004,1.0,0,0.40625,1,2,2,1.375,0
1,2,7,1,0.222222222,1.0,0,0.666666667,0,0,3,1.75,0
1,5,5,1,2.0,0.0,0,1.0,0,0,1,1.0,0
2,1,11,1,2.0,0.0,0,0.571428571,1,2,5,1.75,0
1,11,13,3,0.7777777779999999,1.0,1,0.25,0,0,1,0.9,1
2,14,27,12,1.071428571,0.0,0,0.72,0,0,1,0.8,0
5,41,175,27,0.9303338170000001,0.846153846,5,0.12289562300000001,3,12,11,2.1296,18
6,6,51,5,0.75,1.0,1,1.0,2,4,3,1.4,1
2,7,30,6,0.833333333,1.0,0,0.386363636,1,2,4,1.8182,0
1,58,132,21,0.776470588,0.117647059,5,0.14400000000000002,0,0,33,1.6667,0
6,21,124,20,0.77124183,1.0,0,0.1875,3,6,7,1.5556,5
2,6,15,4,0.7222222220000001,1.0,1,0.35714285700000004,1,1,1,0.8571,0
6,4,23,3,0.5,1.0,0,1.0,2,4,3,1.3333,3
4,59,430,39,0.8832779620000001,0.9069767440000001,10,0.084391534,3,9,25,3.0521,45
1,70,144,21,0.955263158,0.4,1,0.135964912,0,0,16,2.6923,8
1,31,1,1,2.0,0.0,0,1.0,0,0,1,1.0,0
1,5,16,0,1.083333333,0.875,0,0.333333333,0,0,20,8.75,5
7,7,57,7,0.709090909,1.0,2,0.27777777800000003,0,0,3,1.3333,1
5,31,132,22,0.595238095,1.0,6,0.21052631600000002,1,1,21,3.2105,5
1,29,14,1,0.6,1.0,1,0.583333333,0,0,1,0.8333,0
6,9,58,8,0.7333333329999999,1.0,1,0.5,4,12,5,1.7143,1
7,7,54,7,0.846153846,1.0,1,0.28571428600000004,0,0,3,1.0714,3
7,22,137,20,0.830140485,0.8888888890000001,5,0.233333333,2,2,11,2.0333,7
2,6,8,6,0.0,0.0,1,0.571428571,1,1,7,3.5,0
1,4,18,1,1.0159574470000001,0.106382979,16,0.40625,0,0,2,1.0,0
2,7,22,6,0.625,1.0,0,0.6,0,0,4,1.4,0
1,10,2,1,2.0,0.0,0,1.0,0,0,0,0.0,0
6,6,39,5,0.8,1.0,1,0.32,0,0,2,1.0,0
7,8,52,8,0.5,1.0,1,0.46666666700000003,0,0,3,1.6,0
2,10,9,9,2.0,0.0,0,0.625,2,2,1,0.5,0
2,5,28,4,0.7222222220000001,0.75,1,0.472222222,1,3,3,1.2,2
6,4,34,3,0.5,1.0,0,1.0,2,4,5,2.6667,0
8,10,30,9,2.0,0.0,0,0.75,2,3,15,7.5,3
5,4,33,2,2.0,0.0,0,0.5,1,1,3,1.125,0
1,36,7,0,2.0,0.0,0,0.523809524,0,0,1,1.0,0
6,5,31,4,0.761904762,0.666666667,1,0.5,4,12,2,0.875,2
4,10,73,7,0.927203065,1.0,3,0.127777778,3,18,20,1.9,8
2,12,21,11,1.0,0.0,0,0.45,1,1,4,2.25,0
1,14,30,8,0.566666667,0.0,3,0.23636363600000002,0,0,3,1.0909,0
2,12,22,11,2.0,0.0,0,0.625,1,2,1,0.5,0
2,10,7,9,1.0,0.0,0,0.625,1,1,1,0.5,0
2,1,5,1,2.0,0.0,0,0.75,0,0,1,0.5,0
6,3,17,2,0.5,1.0,0,1.0,2,4,5,2.0,2
1,6,32,2,0.9722222220000001,0.333333333,0,0.318181818,0,0,10,2.4615,0
6,5,33,3,0.45833333299999995,1.0,1,0.4375,2,11,8,2.6,2
