wmc,cbo,rfc,ca,ce,npm,lcom3,dam,moa,cam,max_cc,avg_cc,bug
6,10,22,1,10,4,2.0,0.0,0,0.333333333,5,2.1667,0
12,7,39,3,6,1,0.397727273,1.0,2,0.5,2,1.1667,1
14,28,108,3,28,8,0.8692307690000001,1.0,2,0.174603175,9,2.1429,2
2,2,6,1,2,2,2.0,0.0,0,0.625,5,2.5,0
5,5,28,2,4,1,0.708333333,1.0,0,0.5,3,1.6,1
2,1,4,0,1,2,2.0,0.0,0,0.75,2,1.0,0
2,11,33,3,11,2,2.0,0.0,0,0.75,16,8.0,0
8,3,33,1,2,7,2.0,0.0,0,0.5,3,1.125,1
7,36,7,36,0,7,2.0,0.0,0,0.523809524,1,1.0,0
8,5,31,2,4,1,0.761904762,0.666666667,1,0.5,1,0.75,0
7,6,20,1,5,4,0.703703704,1.0,1,0.37142857100000004,8,3.0,1
5,4,50,1,3,4,0.611111111,1.0,0,0.4,7,3.0,0
5,5,29,1,4,4,0.5625,1.0,0,0.46666666700000003,8,2.2,1
150,117,337,93,46,116,0.936533411,0.760869565,13,0.080909091,30,3.44,18
14,14,95,8,9,8,0.692307692,1.0,1,0.58974359,11,2.0714,1
11,8,54,2,7,10,0.625,1.0,0,0.303030303,21,5.0909,1
3,5,24,1,4,1,0.5,1.0,0,1.0,3,1.3333,1
6,1,6,1,0,6,2.0,0.0,0,0.75,1,1.0,0
248,70,482,53,37,193,0.8791707390000001,0.7758620690000001,10,0.07631578900000001,29,3.2581,23
2,9,6,3,6,1,1.0,0.0,0,0.666666667,1,0.5,0
4,4,11,2,2,4,0.666666667,1.0,1,0.5,2,1.0,0
11,12,63,8,8,1,0.775,1.0,0,0.363636364,9,1.6364,0
2,8,8,1,7,1,2.0,0.0,0,0.625,1,0.5,0
3,9,19,0,9,2,1.0,1.0,0,0.333333333,3,1.3333,2
6,31,14,31,1,6,0.6,1.0,1,0.583333333,1,0.8333,1
14,11,77,5,10,1,0.817307692,1.0,1,0.5,3,1.4286,0
3,5,27,1,5,3,1.0,1.0,0,0.666666667,1,0.6667,0
39,28,155,7,26,8,0.828007519,0.892857143,5,0.21052631600000002,14,2.1282,1
3,5,11,1,4,0,0.0,0.0,1,0.444444444,7,3.0,0
9,4,18,4,1,8,1.015625,0.10416666699999999,17,0.40625,2,1.0,0
5,7,24,1,6,3,0.625,1.0,0,0.6,4,1.4,0
21,14,53,9,7,21,0.492857143,1.0,3,0.25170068,31,8.5714,1
1,10,2,9,1,1,2.0,0.0,0,1.0,0,0.0,0
4,6,16,4,5,2,0.5,1.0,1,0.41666666700000005,2,1.0,0
28,7,39,3,6,21,0.9027777779999999,1.0,3,0.25446428600000004,16,3.0714,7
9,4,27,2,3,3,0.75,1.0,0,0.5,1,0.8889,0
57,132,209,118,37,42,0.948891626,0.482758621,9,0.083102493,19,2.5439,14
32,31,70,24,14,26,0.9618768329999999,0.454545455,0,0.261290323,5,1.5938,0
8,1,14,1,1,8,0.7142857140000001,1.0,0,1.0,1,0.875,0
5,2,6,0,2,5,2.0,0.0,0,0.8,1,0.8,0
3,4,5,1,3,0,2.0,0.0,0,0.46666666700000003,1,0.6667,0
4,4,9,1,3,0,0.444444444,1.0,0,0.35714285700000004,5,1.75,0
11,10,62,2,9,4,0.814285714,1.0,0,0.363636364,4,1.3636,0
118,7,180,6,1,27,0.921125975,0.7173913040000001,1,0.138067061,9,1.4492,0
26,41,73,34,16,18,0.872727273,1.0,3,0.108571429,8,1.5,1
14,15,81,3,14,3,0.884615385,1.0,3,0.28571428600000004,12,1.7143,1
3,29,3,29,0,3,1.5,0.0,0,0.833333333,1,1.0,0
1,17,2,17,0,1,2.0,0.0,0,1.0,0,0.0,0
13,9,38,4,5,11,0.25,1.0,1,0.305555556,8,2.5385,3
2,7,6,1,6,1,2.0,0.0,0,0.625,1,0.5,0
6,4,13,2,2,5,0.4,1.0,0,0.444444444,1,0.8333,0
19,33,76,26,16,11,0.904761905,0.857142857,3,0.203007519,6,1.4211,3
4,4,16,1,4,2,0.833333333,0.0,0,0.4,3,1.75,0
13,19,33,15,6,13,0.7333333329999999,1.0,3,0.33846153799999995,5,2.1538,2
5,7,20,1,6,2,0.5,0.0,0,0.36666666700000006,10,3.8,0
6,12,35,7,5,3,0.7111111109999999,0.333333333,0,0.342857143,10,3.0,0
12,8,32,4,5,7,0.272727273,0.0,0,0.35,4,1.4167,0
12,10,42,7,4,12,1.0909090909999999,0.428571429,0,0.239583333,27,8.4167,3
3,4,18,1,3,3,0.5,1.0,1,1.0,2,1.3333,0
5,3,12,2,1,3,0.46875,1.0,0,0.6,10,3.8,0
13,69,53,69,1,7,0.892857143,0.571428571,0,0.17857142899999998,7,2.3077,0
15,53,23,53,1,11,0.5,0.0,1,0.577777778,3,1.3333,1
10,8,28,7,2,8,0.583333333,1.0,1,0.35,5,1.8,0
11,8,29,3,7,9,0.75,1.0,0,0.386363636,3,1.6364,0
11,7,50,3,6,1,0.716666667,1.0,0,0.5,6,1.9091,0
2,7,5,2,5,2,1.0,0.0,0,0.625,1,0.5,0
5,3,17,1,3,5,2.0,0.0,0,0.52,2,1.0,0
5,6,6,6,0,5,0.75,1.0,0,0.46666666700000003,1,0.8,0
6,17,38,3,14,1,1.114285714,0.0,0,0.611111111,1,0.8333,0
18,12,95,4,10,9,0.661764706,1.0,0,0.10457516300000001,17,3.0556,2
2,4,3,3,1,1,1.0,0.0,0,0.75,1,0.5,0
17,11,72,1,11,8,0.879807692,1.0,5,0.264705882,35,6.2353,3
3,3,7,0,3,3,2.0,0.0,0,0.75,0,0.0,0
8,5,25,3,5,8,0.857142857,1.0,2,0.625,1,0.875,1
7,5,11,2,3,6,0.5,1.0,0,0.523809524,9,3.1429,0
10,10,47,4,8,7,0.97008547,0.5,2,0.2875,32,8.6,4
8,7,20,2,5,6,0.28571428600000004,1.0,0,0.40625,2,1.375,0
11,17,20,16,1,8,0.8,0.0,0,0.386363636,1,0.7273,1
2,6,7,5,1,2,1.761904762,0.0,3,0.625,1,0.5,1
54,22,144,13,15,47,0.9634814359999999,0.677419355,4,0.103009259,7,1.5741,2
3,11,10,4,7,2,2.0,0.0,0,0.533333333,1,0.6667,0
9,8,45,4,7,1,0.71875,1.0,1,0.5,2,1.0,0
11,27,32,22,6,8,0.72,1.0,1,0.16,5,1.7273,0
17,2,37,2,0,16,0.7,0.8,0,0.323529412,12,2.0,1
3,4,24,1,3,3,0.5,1.0,1,1.0,3,1.6667,1
8,7,31,5,4,1,0.761904762,0.666666667,1,0.5,1,0.75,0
4,10,24,3,7,2,2.0,0.0,0,0.583333333,1,0.75,0
2,2,3,2,2,2,2.0,0.0,0,0.625,1,0.5,0
2,13,28,3,13,2,2.0,0.0,0,0.75,8,4.0,0
11,2,16,1,2,11,0.6,1.0,1,0.424242424,1,0.9091,0
2,2,6,1,2,2,2.0,0.0,0,0.625,5,2.5,0
7,7,19,1,6,7,0.80952381,1.0,0,0.39285714299999996,2,1.2857,0
18,14,71,6,10,5,0.705882353,1.0,2,0.15555555599999998,33,7.2222,9
4,14,21,5,11,3,0.5555555560000001,0.333333333,2,0.35714285700000004,2,1.0,0
9,2,17,1,1,6,0.6785714290000001,1.0,0,1.0,5,2.8889,0
4,6,13,6,1,3,1.222222222,0.133333333,0,0.5,1,0.75,0
2,11,9,3,8,1,2.0,0.0,0,0.625,1,0.5,0
5,1,24,1,0,5,2.0,0.0,0,0.3,6,3.0,0
19,19,72,6,15,9,0.708333333,0.75,1,0.274853801,5,1.6316,0
1,4,15,2,4,1,2.0,0.0,0,1.0,0,0.0,0
14,19,27,18,1,10,0.653846154,0.125,1,0.342857143,6,2.3571,0
