wmc,cbo,rfc,ca,ce,npm,lcom3,loc,dam,moa,cam,cbm,max_cc,avg_cc,bug
5,8,52,1,8,4,0.5,372,1.0,1,0.46666666700000003,0,5,2.0,0
7,6,36,2,6,1,0.7888888890000001,508,1.0,0,0.5,5,6,1.8571,0
17,5,17,4,1,17,2.0,17,0.0,0,0.39495798299999996,0,1,1.0,0
8,18,27,16,3,8,0.523809524,155,0.333333333,0,0.35,0,3,1.5,0
40,14,106,5,14,36,0.929230769,1100,0.88,3,0.125,17,31,2.1,1
2,16,27,1,15,1,2.0,227,0.0,0,0.625,1,1,0.5,0
2,4,2,4,2,2,2.0,2,0.0,0,1.0,0,1,1.0,0
3,13,34,2,13,3,0.5,227,1.0,0,0.5555555560000001,0,18,6.3333,0
8,9,56,3,8,4,0.771428571,386,1.0,0,0.3125,0,15,2.875,0
3,4,9,1,3,0,0.5,71,1.0,0,0.444444444,2,6,2.3333,0
23,34,118,1,33,6,0.96,2050,0.0,5,0.15700483099999998,0,18,5.3913,0
36,40,88,32,15,30,0.979365079,725,0.27777777800000003,0,0.221978022,0,7,1.5556,3
4,2,15,1,1,3,0.333333333,54,1.0,0,0.75,0,4,1.5,0
5,4,17,4,2,4,0.375,130,0.5,0,0.533333333,0,4,2.0,0
12,3,25,2,1,0,0.436363636,218,1.0,0,0.39583333299999995,0,3,1.3333,0
2,2,3,2,0,0,1.0,16,0.0,0,0.75,0,0,0.0,0
4,5,4,5,0,4,2.0,4,0.0,0,1.0,0,1,1.0,0
5,4,18,0,4,5,0.375,176,1.0,2,0.36666666700000006,3,7,2.6,0
13,13,13,13,0,13,2.0,13,0.0,0,0.43076923100000003,0,1,1.0,0
11,7,22,4,4,9,0.751851852,364,0.0,4,0.533333333,0,5,1.4545,1
9,11,58,10,8,2,0.875,308,0.666666667,2,0.296296296,0,1,0.8889,1
12,12,62,4,12,1,0.8,334,1.0,1,0.25,12,4,1.6667,1
