ce,bug
9,0
0,0
8,1
4,0
1,0
5,0
10,0
17,0
6,0
43,0
6,0
1,0
2,0
0,0
4,0
0,0
0,0
11,0
5,0
3,0
33,0
1,0
2,0
3,0
0,0
2,0
2,0
3,0
23,0
1,0
0,0
2,0
4,0
3,0
20,0
9,0
23,0
16,0
10,0
0,0
6,0
25,0
7,0
6,0
17,0
9,0
10,0
2,0
2,0
2,0
3,0
5,0
9,0
10,0
2,0
2,0
11,0
0,0
5,0
6,0
19,0
11,0
2,0
5,0
1,0
6,0
18,0
6,0
0,0
3,0
0,0
9,0
1,0
3,0
13,0
0,0
3,0
11,0
0,0
1,0
6,0
0,0
29,0
13,0
9,0
6,0
17,0
4,0
7,0
1,0
5,0
25,0
6,0
10,0
0,0
51,0
11,0
2,0
3,0
0,0
2,0
2,0
11,0
0,0
5,0
4,0
2,0
10,0
5,0
39,0
5,0
18,0
0,0
10,0
6,0
11,0
2,0
3,0
1,0
9,0
0,0
2,0
23,0
1,0
16,0
2,0
5,0
7,0
7,0
1,0
1,0
0,0
3,0
0,0
4,0
3,0
5,0
0,0
8,0
7,0
4,0
9,0
9,0
5,0
11,0
2,0
13,0
5,0
8,0
4,0
1,0
1,0
5,0
13,0
18,0
16,0
11,0
1,0
0,0
0,0
49,0
2,0
4,0
10,0
8,0
0,0
4,0
6,0
8,0
5,0
6,0
4,0
1,0
2,0
2,0
6,0
7,0
8,0
3,0
13,0
0,0
6,0
9,0
11,0
0,0
11,0
2,0
9,0
4,0
6,0
8,0
1,0
8,0
4,0
4,0
6,0
4,0
0,0
1,0
1,0
2,0
10,0
3,0
8,0
4,1
1,0
2,0
12,0
11,0
4,0
7,0
0,0
3,0
5,0
2,0
12,0
7,0
11,0
16,0
8,0
0,0
22,2
6,0
3,0
2,0
4,0
5,0
9,0
1,0
3,0
21,0
6,0
1,0
3,0
9,0
3,0
1,0
12,0
6,0
10,0
4,0
15,0
19,0
0,0
10,0
16,0
7,0
1,0
8,0
5,0
0,0
7,0
1,0
6,0
0,0
9,0
8,0
6,0
1,0
3,0
11,0
4,0
19,0
13,0
8,0
9,0
8,0
8,0
28,1
3,0
1,0
55,1
2,0
8,0
2,0
5,0
4,0
0,0
9,0
0,0
14,0
0,0
0,0
0,0
2,0
6,0
2,0
2,0
1,0
18,0
1,0
5,0
8,0
18,0
59,0
6,0
6,0
4,0
6,0
9,0
9,0
26,0
4,0
4,0
48,1
8,0
3,0
8,0
29,0
5,0
4,0
13,0
2,0
10,0
4,0
2,0
4,0
11,0
0,0
4,0
2,0
5,0
0,0
23,0
3,0
1,0
1,0
17,0
4,0
16,0
11,0
3,0
6,0
0,0
18,0
29,0
11,0
4,0
4,0
7,0
5,0
10,0
16,0
3,0
1,0
0,0
5,0
0,0
18,0
0,0
10,0
6,0
4,0
18,0
4,1
1,0
15,1
0,0
9,0
8,0
2,0
4,0
1,0
1,0
11,0
5,0
2,0
101,0
4,1
7,0
3,0
1,0
15,0
8,0
4,0
1,0
9,0
30,0
13,0
3,0
16,1
0,0
5,0
19,0
6,0
0,0
1,0
13,0
8,0
1,0
0,0
19,0
3,0
12,0
7,0
2,0
9,0
0,0
1,0
10,0
5,0
4,0
2,0
4,0
2,0
5,0
0,0
11,0
3,0
7,0
5,0
7,0
7,0
2,0
2,0
8,0
8,0
0,0
2,0
4,0
5,0
2,0
4,1
2,0
2,0
6,0
16,0
1,0
2,0
9,0
7,0
12,0
8,0
6,0
4,0
2,0
19,0
6,0
0,0
11,0
2,0
1,0
0,0
11,0
16,0
0,0
9,0
3,0
4,0
14,0
0,0
6,0
0,0
22,0
0,0
9,0
2,0
21,0
0,0
6,0
8,0
1,0
10,0
0,0
1,0
1,0
1,0
1,0
1,0
3,0
0,0
0,0
31,0
31,0
4,0
2,0
4,0
3,0
0,0
12,0
2,0
22,0
10,0
1,0
3,0
9,0
0,0
11,0
2,0
3,0
1,0
11,0
