dit,ca,mfa,amc,bug
1,4,0.0,2.12962963,0
4,1,0.983870968,105.5,1
4,1,1.0,41.0,0
2,0,1.0,6.5,0
4,1,1.0,129.0,1
1,3,0.0,45.2,0
2,0,0.625,84.42857143,2
4,1,0.983870968,21.0,0
2,2,0.545454545,12.71428571,0
4,1,0.983870968,66.0,1
3,6,0.9024390240000001,43.33333333,0
2,6,0.807692308,17.375,0
2,2,0.545454545,12.71428571,0
2,6,0.84,49.16666667,0
3,1,0.978723404,26.5,0
4,1,1.0,23.0,1
1,2,0.0,2.086956522,0
1,1,0.0,22.66666667,0
4,1,0.968253968,30.5,0
1,4,0.0,2.055555556,0
3,0,1.0,3.0,0
4,1,1.0,23.0,0
1,2,0.0,29.0,0
2,7,0.875,21.4,0
4,1,0.938461538,25.0,1
1,1,0.0,10.5,0
3,7,0.880952381,55.28571429,0
