wmc,cbo,rfc,ca,ce,npm,loc,cam,max_cc,avg_cc,bug
4,3,12,2,1,4,99,0.35714285700000004,3,1.0,0
2,0,3,0,0,2,6,0.5,1,0.5,0
8,6,22,3,3,8,176,0.40625,5,3.125,0
8,7,24,1,6,8,179,0.333333333,7,2.25,0
10,34,13,32,2,9,28,0.40740740700000005,1,0.8,0
12,10,35,0,10,11,531,0.36666666700000006,23,5.0833,2
2,4,4,1,3,1,10,0.75,1,0.5,0
5,1,14,0,1,2,45,0.333333333,1,0.6,0
2,4,11,1,3,1,67,0.666666667,5,2.5,0
3,0,14,0,0,2,133,0.333333333,4,1.6667,0
6,3,9,1,2,6,44,0.45833333299999995,2,1.1667,1
8,7,25,2,5,8,217,0.40625,5,1.625,0
4,2,12,0,2,2,38,0.333333333,1,0.5,0
3,8,3,8,0,3,3,0.666666667,1,1.0,0
14,20,42,9,11,9,247,0.134615385,3,1.2857,1
4,7,25,3,4,2,106,0.41666666700000005,2,0.75,0
6,3,25,0,3,2,202,0.27777777800000003,2,1.3333,0
3,2,8,2,2,2,42,0.625,1,0.3333,0
9,3,34,0,3,2,167,0.175,3,1.4444,0
2,3,20,0,3,2,85,0.5,6,3.0,0
5,1,7,1,0,3,22,0.75,1,0.6,0
13,10,42,2,8,11,289,0.247863248,5,1.2308,1
19,20,31,11,9,18,181,0.21052631600000002,4,1.4211,0
7,6,30,0,6,2,144,0.27777777800000003,2,0.8571,0
12,12,41,10,2,9,275,0.090909091,6,2.25,1
4,9,12,8,1,4,57,0.5,2,1.0,0
4,1,11,1,0,2,61,0.5,6,2.0,0
4,3,19,0,3,2,68,0.333333333,2,1.25,0
10,40,13,40,0,8,169,0.333333333,7,2.1,1
5,5,9,3,2,5,43,0.4,1,0.8,0
6,7,21,5,2,5,274,0.46666666700000003,5,2.8333,1
7,28,16,28,1,6,91,0.333333333,3,1.2857,2
8,3,14,2,1,8,146,0.41666666700000005,3,1.75,0
9,53,27,50,4,6,151,0.23214285699999998,3,1.3333,2
4,0,15,0,0,4,73,0.333333333,1,0.75,3
6,7,44,2,7,4,208,0.3,3,1.0,0
3,1,7,0,1,2,23,0.5555555560000001,1,0.6667,0
6,5,24,0,5,6,241,0.444444444,5,1.8333,1
3,4,6,2,3,3,25,0.833333333,2,1.0,0
7,5,35,0,5,2,179,0.25,2,1.0,1
20,17,46,9,8,15,413,0.2375,7,1.65,1
4,3,11,1,2,2,32,0.5,1,0.5,0
19,10,69,2,8,13,675,0.233082707,11,2.1579,0
10,2,37,0,2,7,301,0.2,4,1.7,0
10,6,33,0,6,9,321,0.325,5,1.7,2
5,0,14,0,0,2,80,0.25,2,1.0,0
2,3,22,1,2,2,128,0.75,5,2.5,0
5,2,18,1,1,5,88,0.45,1,0.8,0
49,60,96,53,12,42,800,0.15064102599999998,6,2.1429,9
0,1,0,1,0,0,0,0.0,0,0.0,0
0,2,0,1,1,0,0,0.0,0,0.0,0
8,0,10,0,0,8,21,0.46875,1,0.875,0
10,7,27,1,7,8,145,0.5555555560000001,3,1.4,0
9,22,9,18,4,9,9,0.25925925899999996,1,1.0,1
4,2,9,1,1,2,62,0.5555555560000001,4,1.75,0
7,6,22,0,6,3,107,0.375,2,0.8571,0
14,6,26,1,5,10,157,0.384615385,4,0.7143,1
2,4,12,1,4,2,69,0.666666667,2,1.0,0
2,4,5,1,4,1,14,0.75,1,0.5,0
1,2,2,1,1,0,4,1.0,0,0.0,0
13,9,62,0,9,8,449,0.346153846,10,2.3846,3
