wmc,cbo,rfc,lcom,ce,npm,loc,moa,cam,max_cc,bug
14,9,33,53,9,11,188,1,0.44230769200000003,3,1
11,6,27,19,6,11,199,0,0.303030303,7,1
8,7,42,14,7,2,308,2,0.23809523800000001,4,0
6,2,15,0,1,5,66,0,0.375,2,0
13,4,40,8,4,2,516,4,0.15,7,2
5,1,14,8,1,2,45,1,0.333333333,1,0
4,0,13,0,0,2,161,0,0.583333333,3,0
5,4,6,10,2,5,13,1,0.46666666700000003,1,0
3,9,10,0,1,1,49,0,1.0,1,0
1,4,1,0,1,1,1,0,1.0,1,1
2,2,4,1,1,1,8,0,0.75,1,0
9,4,37,8,4,7,314,1,0.21875,7,0
4,1,11,2,0,2,61,0,0.5,6,0
19,8,36,141,7,15,229,0,0.355555556,4,1
8,6,31,22,6,2,324,7,0.28571428600000004,5,1
6,3,8,15,3,6,34,0,0.5,2,0
7,2,21,17,2,2,90,1,0.27777777800000003,2,0
8,5,39,24,5,2,328,1,0.214285714,2,1
1,2,3,0,1,0,7,0,1.0,0,0
18,28,78,135,15,9,714,1,0.27777777800000003,10,6
4,3,20,6,3,2,69,0,0.333333333,2,0
11,31,14,15,0,9,174,5,0.35,7,5
2,14,2,1,1,2,2,0,0.75,1,0
6,9,21,0,2,5,286,0,0.46666666700000003,6,0
10,3,17,0,1,9,243,1,0.46666666700000003,5,0
15,42,48,77,8,9,304,4,0.19642857100000002,4,4
4,2,19,4,1,2,139,0,0.5555555560000001,3,1
10,7,42,39,6,6,328,0,0.314285714,9,0
4,0,10,4,0,3,114,0,0.333333333,4,0
9,5,19,10,2,7,120,1,0.4375,4,0
2,7,7,1,7,2,15,0,0.666666667,1,1
7,2,13,0,1,7,246,1,0.523809524,7,0
2,4,4,1,2,1,10,0,0.75,1,0
10,2,37,23,2,7,301,1,0.2,4,0
16,10,48,34,10,16,320,3,0.25,5,5
4,3,15,4,1,4,80,0,0.35714285700000004,2,0
4,7,27,4,7,2,134,0,0.333333333,3,0
2,2,16,1,2,2,100,0,0.75,3,0
7,4,29,17,4,2,154,1,0.333333333,2,0
0,0,0,0,0,0,7,0,0.0,0,0
3,1,7,1,0,3,20,0,0.444444444,1,0
3,1,15,1,1,2,105,0,0.5,1,0
4,4,12,6,0,4,111,0,0.35714285700000004,6,0
7,3,25,17,3,2,105,1,0.27777777800000003,2,0
1,7,1,0,0,1,1,0,1.0,1,0
6,4,30,9,4,2,144,1,0.333333333,2,1
4,7,25,0,4,2,109,2,0.41666666700000005,2,3
5,1,17,0,1,2,163,1,0.25,3,0
9,3,34,34,3,2,167,1,0.175,3,0
2,3,20,1,3,2,85,0,0.5,6,0
1,6,1,0,1,1,1,0,1.0,1,0
8,15,41,8,14,2,693,3,0.375,21,0
8,6,48,6,6,2,356,3,0.257142857,3,1
10,7,49,13,6,6,386,0,0.35,11,2
4,3,12,6,1,4,99,0,0.35714285700000004,3,0
8,6,22,0,3,8,176,0,0.40625,5,0
10,26,13,45,2,9,28,0,0.40740740700000005,1,0
5,0,15,8,0,1,479,0,0.3125,7,0
18,8,42,81,8,17,517,1,0.25925925899999996,22,1
2,4,4,1,3,1,10,0,0.75,1,0
6,6,13,13,3,6,54,0,0.444444444,1,0
3,5,17,0,5,1,131,3,0.5555555560000001,6,0
3,0,14,3,0,2,133,0,0.333333333,4,0
4,1,5,6,0,3,10,0,0.5,1,0
7,6,30,17,6,2,144,1,0.27777777800000003,2,0
12,12,41,0,2,9,275,0,0.090909091,6,2
4,6,12,0,1,4,57,1,0.5,2,0
10,7,19,27,4,9,130,1,0.5,3,1
5,2,17,0,1,2,120,0,0.46666666700000003,3,0
23,23,65,125,10,20,530,3,0.186868687,6,3
27,10,80,239,10,22,565,2,0.240740741,10,3
7,4,32,17,4,2,155,1,0.27777777800000003,2,0
5,0,16,0,0,2,268,0,0.333333333,4,0
6,9,10,7,2,2,174,1,0.44,6,0
2,1,5,1,1,2,15,0,0.5,1,0
6,4,6,15,1,6,6,0,0.5555555560000001,1,0
6,3,25,11,2,3,154,0,0.44,8,1
5,7,31,10,7,2,145,0,0.3,3,3
