noc,cbo,ca,npm,dam,bug
0,4,1,4,1.0,3
0,7,6,1,0.0,2
0,6,0,2,0.0,1
0,2,1,1,0.0,2
0,6,0,8,0.0,3
0,9,6,0,1.0,2
0,8,1,13,1.0,4
0,3,1,2,0.0,2
0,3,0,6,0.0,2
0,0,0,2,0.0,2
0,4,0,14,0.5,2
6,10,8,2,0.0,2
0,1,0,4,0.0,2
0,3,0,2,0.0,2
0,8,0,5,0.2,4
0,9,0,2,0.0,3
0,5,4,3,0.5,2
0,3,2,9,0.0,2
0,62,52,12,0.47619047600000003,5
0,4,1,2,1.0,3
0,4,1,2,0.0,0
0,6,2,4,0.0,2
0,4,3,1,0.0,2
0,4,1,3,1.0,2
0,2,2,2,0.0,3
0,2,1,7,0.0,2
2,10,4,13,1.0,3
0,3,1,4,0.0,2
0,0,0,2,0.0,3
0,2,1,5,0.5,7
0,5,2,1,0.75,3
0,0,0,0,0.0,2
0,6,0,3,0.0,1
0,2,1,1,1.0,2
0,6,3,9,1.0,2
0,0,0,1,0.0,0
0,3,3,7,1.0,2
0,1,1,2,0.0,0
2,17,16,26,1.0,2
0,3,1,2,0.0,0
2,4,4,4,0.4,3
0,1,1,2,0.0,2
0,1,1,11,0.666666667,2
0,8,8,1,0.0,2
0,9,3,2,0.0,2
0,1,0,2,0.0,2
0,3,2,1,0.0,2
0,3,0,2,0.0,1
0,20,16,8,1.0,3
12,27,18,19,1.0,4
0,24,24,4,0.0,5
2,6,5,4,1.0,2
0,3,1,2,0.0,2
0,2,2,22,1.0,3
0,6,0,2,0.0,0
0,2,0,2,0.0,1
0,4,0,2,0.0,2
0,3,0,8,0.0,3
2,25,25,4,0.5,5
0,10,1,4,1.0,3
0,1,0,2,0.0,1
0,4,1,1,0.0,0
1,35,35,10,0.0,3
0,20,17,6,0.0,2
0,4,2,4,0.0,3
0,12,8,0,0.5,3
0,8,2,4,0.23076923100000002,2
0,5,0,3,1.0,2
0,19,16,12,0.0,4
0,6,5,3,0.666666667,5
0,5,0,6,1.0,6
0,9,5,8,0.0,2
0,9,1,1,0.5,2
0,3,1,2,0.0,2
0,27,22,15,0.0,3
0,2,0,7,0.0,1
1,3,3,13,0.8,2
0,9,1,15,0.0,5
0,3,2,4,0.0,4
1,65,58,48,0.7,5
0,15,15,16,1.0,3
0,2,0,1,0.0,2
0,3,1,5,1.0,2
0,7,0,15,0.071428571,10
0,5,2,4,0.0,2
0,1,0,2,0.0,2
0,0,0,2,0.0,0
0,8,7,1,0.0,2
0,6,1,8,0.0,2
0,5,1,10,1.0,2
0,2,0,2,0.0,1
0,13,6,3,0.0,2
0,3,1,4,1.0,2
0,2,2,3,0.0,2
0,3,0,2,0.0,1
0,3,2,1,0.0,2
0,16,4,2,0.46153846200000004,3
0,8,2,6,0.5,2
4,6,4,11,0.0,2
0,5,2,3,0.0,2
5,36,34,7,0.0,2
0,5,1,1,0.0,0
0,24,6,11,0.0,8
0,1,1,3,0.0,1
