wmc,cbo,rfc,lcom,ce,npm,lcom3,loc,dam,moa,cam,amc,bug
2,3,4,1,3,2,2.0,10,0.0,0,0.666666667,4.0,0
10,4,37,0,4,9,0.38888888899999996,278,1.0,0,0.34,26.6,0
27,1,43,13,0,13,0.600961538,1174,1.0,0,0.25308642,42.18518519,0
1,21,1,0,1,1,2.0,1,0.0,0,1.0,0.0,3
3,19,4,3,1,3,2.0,7,0.0,0,1.0,1.333333333,1
2,8,8,1,6,0,2.0,61,0.0,0,0.583333333,29.5,1
7,6,30,1,5,7,0.0,373,1.0,0,0.314285714,51.57142857,0
1,5,2,0,1,1,2.0,16,0.0,1,1.0,12.0,6
9,4,14,0,1,6,0.575,204,0.8,0,0.41666666700000005,21.11111111,3
6,8,29,0,6,0,0.436363636,383,0.727272727,5,0.47916666700000005,61.0,2
15,19,50,0,18,13,0.47619047600000003,557,1.0,1,0.251851852,35.93333333,3
5,2,18,0,1,4,0.55,380,0.4,1,0.4,74.0,1
17,12,55,12,10,13,0.625,404,1.0,0,0.158823529,22.52941176,1
14,18,17,91,0,14,2.0,189,0.0,0,0.297619048,12.5,1
2,6,4,1,2,0,2.0,39,0.0,0,0.666666667,18.5,0
6,4,10,15,3,6,2.0,31,0.0,0,0.666666667,4.166666667,0
1,14,2,0,3,0,2.0,11,0.0,1,1.0,9.0,0
12,7,46,0,7,12,0.613636364,343,1.0,0,0.208333333,27.25,1
14,23,35,0,1,14,0.5,341,0.5,0,0.428571429,23.21428571,1
1,3,1,0,0,0,2.0,87,0.0,0,0.0,68.0,0
36,5,52,282,4,7,0.720300752,2855,0.21052631600000002,1,0.40571428600000004,77.77777778,4
2,8,11,0,6,0,0.0,106,1.0,0,0.571428571,51.5,1
6,25,8,15,1,6,2.0,21,0.0,0,0.583333333,2.5,0
6,12,12,1,11,6,0.64,173,1.0,6,0.35,26.16666667,0
15,13,54,41,11,10,0.804761905,675,0.533333333,5,0.237037037,43.0,0
5,10,36,2,9,0,0.625,319,1.0,3,0.333333333,62.0,9
8,3,19,12,2,4,0.666666667,125,0.666666667,1,0.3,14.25,0
13,45,39,72,7,12,0.833333333,249,1.0,0,0.23076923100000002,18.07692308,0
9,9,32,0,8,9,0.291666667,340,1.0,2,0.25925925899999996,36.44444444,0
6,9,28,0,8,6,0.0,147,1.0,1,0.333333333,23.33333333,0
15,9,29,15,8,11,0.6,523,0.7,3,0.28571428600000004,33.2,0
3,14,4,0,1,2,0.666666667,25,0.333333333,1,0.583333333,6.333333333,0
3,4,5,1,1,1,0.5,17,1.0,0,0.666666667,4.333333333,0
3,0,8,3,0,1,1.0,27,0.0,0,0.333333333,7.666666667,0
9,5,18,0,3,8,0.5,1224,1.0,0,0.5,134.5555556,2
6,5,18,5,0,1,0.6,88,0.5,0,0.7,13.33333333,0
16,10,41,10,9,15,0.133333333,257,0.0,0,0.375,15.0,12
5,15,7,10,6,4,2.0,14,0.0,0,0.46666666700000003,1.8,0
10,8,33,25,7,10,0.7222222220000001,178,1.0,2,0.228571429,16.4,2
5,6,20,0,5,5,0.5,141,1.0,2,0.4,26.6,0
52,30,129,888,29,32,0.873873874,2830,0.648648649,11,0.132730015,52.71153846,7
2,4,4,1,3,2,2.0,10,0.0,0,0.666666667,4.0,0
5,6,21,0,3,0,0.375,274,0.0,1,0.5,53.4,0
2,21,3,1,0,2,2.0,5,0.0,0,0.666666667,1.5,0
2,2,4,1,1,1,2.0,13,0.0,0,0.666666667,5.5,0
13,6,31,0,6,11,0.375,218,1.0,2,0.20879120899999998,15.61538462,0
3,5,17,1,4,2,0.5,98,1.0,0,0.75,31.0,0
8,14,22,0,6,6,0.14285714300000002,100,1.0,1,0.23214285699999998,11.375,1
4,4,8,4,2,2,0.857142857,122,1.0,0,0.583333333,27.75,0
8,1,29,16,1,6,0.14285714300000002,330,1.0,0,0.314285714,40.125,0
4,11,6,6,3,3,1.0,15,0.0,2,0.833333333,2.25,0
12,35,13,66,3,12,2.0,15,0.0,0,0.875,0.25,6
11,8,42,0,6,10,0.45,285,1.0,0,0.22077922100000003,24.72727273,1
3,6,7,3,5,2,2.0,23,0.0,0,0.5,6.666666667,1
8,3,15,0,1,7,0.571428571,133,1.0,0,0.35,15.25,0
8,1,25,22,0,6,0.428571429,126,1.0,0,0.17857142899999998,14.625,0
2,4,3,1,1,2,1.0,16,0.0,0,0.875,6.5,0
6,2,19,15,0,4,1.12,184,0.0,0,0.5,28.83333333,0
18,21,93,0,21,0,0.7019607840000001,1039,1.0,8,0.18888888899999998,55.88888889,8
11,6,20,15,4,9,0.514285714,231,1.0,4,0.24675324699999998,19.36363636,0
1,5,1,0,2,1,2.0,1,0.0,0,1.0,0.0,0
6,4,15,0,3,6,0.46666666700000003,113,1.0,2,0.5,17.33333333,0
11,4,25,0,3,7,0.65,434,1.0,0,0.287878788,38.09090909,2
4,0,18,0,0,3,1.166666667,130,0.5,0,0.333333333,30.0,0
7,2,14,0,1,7,0.0,47,1.0,1,0.428571429,5.571428571,0
3,3,4,3,0,3,1.4375,23,0.0,2,0.5,4.0,0
5,2,16,0,2,5,0.5,102,1.0,1,0.4,19.0,3
2,4,2,1,2,2,2.0,2,0.0,0,1.0,0.0,0
1,3,4,0,0,0,2.0,15,0.0,0,1.0,11.0,1
7,5,13,15,3,7,0.333333333,106,1.0,0,0.514285714,13.85714286,0
1,3,2,0,2,0,2.0,38,0.0,2,1.0,33.0,0
48,21,119,742,20,32,0.89106383,1211,0.64,6,0.11527777800000001,23.70833333,22
16,8,34,62,6,3,0.686666667,461,1.0,6,0.28125,27.1875,4
13,11,23,58,11,11,0.9605263159999999,656,0.578947368,0,0.21969697,48.0,0
13,9,34,0,7,6,0.6759259259999999,342,1.0,4,0.21978022,24.61538462,1
7,8,15,0,8,6,0.5,67,0.5,0,0.333333333,8.285714286000001,0
8,5,21,4,3,7,0.35714285700000004,188,1.0,1,0.270833333,22.25,4
5,15,5,10,0,5,2.0,5,0.0,0,0.6,0.0,0
1,6,2,0,0,0,2.0,32,0.0,0,1.0,24.0,1
5,2,10,0,2,4,0.375,60,1.0,1,0.6,10.6,0
20,15,52,86,14,9,0.669172932,449,1.0,3,0.22368421100000002,21.1,4
9,13,16,0,0,9,0.6,152,0.2,0,0.518518519,15.33333333,2
10,18,87,0,18,0,0.7008547009999999,990,1.0,5,0.254545455,96.7,6
2,0,5,1,0,0,1.0,44,0.0,0,1.0,17.0,0
7,10,27,1,8,6,0.333333333,134,1.0,1,0.342857143,18.0,0
11,8,28,15,7,7,0.644444444,440,1.0,3,0.287878788,38.18181818,1
5,6,20,0,6,5,0.375,118,1.0,1,0.4,22.2,2
6,16,33,3,16,6,0.4,297,1.0,1,0.351851852,48.16666667,0
12,7,33,0,4,6,0.545454545,237,1.0,0,0.283333333,18.41666667,1
7,1,10,21,0,7,2.0,155,0.0,0,0.321428571,21.14285714,0
3,3,10,1,2,3,0.5,63,1.0,0,0.666666667,19.0,0
1,2,1,0,0,0,2.0,169,0.0,0,0.0,132.0,1
6,11,6,15,0,6,2.0,6,0.0,0,0.375,0.0,0
2,3,3,1,0,0,1.4,112,0.0,0,1.0,52.5,2
6,13,30,3,4,5,0.6,216,0.333333333,0,0.5,34.5,7
5,7,13,0,5,4,0.4375,110,0.5,1,0.5,20.2,0
2,2,4,1,1,1,2.0,9,0.0,0,0.666666667,3.5,0
6,6,14,15,5,5,2.0,57,0.0,0,0.333333333,8.5,1
10,13,42,7,12,9,0.638888889,280,0.5,0,0.28571428600000004,26.6,1
6,1,19,15,0,4,1.12,184,0.0,0,0.5,28.83333333,0
2,20,3,1,1,2,2.0,5,0.0,0,0.75,1.5,0
9,7,10,36,6,8,1.0625,16,0.0,1,0.5625,0.5555555560000001,0
14,24,17,89,0,14,0.923076923,224,1.0,0,0.271428571,14.92857143,0
10,3,10,45,0,10,2.0,10,0.0,0,0.6,0.0,1
14,2,25,3,1,13,0.602564103,237,0.0,0,0.404761905,15.5,0
14,12,51,67,12,8,0.641025641,764,0.666666667,2,0.40170940200000005,53.35714286,2
7,4,16,0,3,6,0.333333333,179,1.0,2,0.47619047600000003,24.14285714,0
2,4,6,0,4,2,0.0,35,1.0,1,0.75,16.0,0
26,7,55,0,7,22,0.344,707,1.0,4,0.184615385,25.80769231,2
13,9,38,0,6,4,0.75,354,0.571428571,6,0.21153846199999998,25.15384615,2
10,16,10,45,10,10,2.0,10,0.0,0,0.288888889,0.0,2
4,4,5,0,3,3,0.666666667,65,0.666666667,1,0.47619047600000003,14.5,1
4,2,18,6,0,3,2.0,102,0.0,0,0.25,24.5,0
2,4,5,1,3,2,2.0,21,0.0,0,0.75,9.5,0
26,15,56,0,14,17,0.668571429,601,1.0,1,0.174825175,21.84615385,9
7,6,25,0,5,5,0.520833333,201,1.0,2,0.30952381,26.57142857,2
7,11,37,0,11,7,0.69047619,348,1.0,2,0.30952381,47.71428571,2
10,3,10,45,0,10,2.0,10,0.0,0,0.6,0.0,0
5,5,12,0,1,0,0.583333333,94,0.0,2,0.533333333,16.6,1
3,6,7,3,5,2,2.0,21,0.0,0,0.666666667,6.0,0
19,18,51,145,6,15,0.920634921,437,0.28571428600000004,0,0.257309942,21.63157895,1
6,6,39,0,5,5,0.6,337,1.0,1,0.333333333,54.33333333,1
27,13,80,193,13,21,0.814102564,479,1.0,0,0.18148148100000003,16.51851852,6
9,10,32,0,9,7,0.545454545,409,1.0,2,0.28571428600000004,43.22222222,0
9,8,25,0,8,8,0.3125,133,0.0,2,0.222222222,13.55555556,4
12,13,13,0,0,8,0.454545455,275,1.0,0,0.444444444,21.66666667,0
16,42,25,108,4,15,0.8666666670000001,91,1.0,1,0.185185185,4.5625,3
14,5,29,53,4,6,0.692307692,514,1.0,1,0.333333333,34.92857143,0
6,16,14,13,0,5,0.8,58,0.0,0,0.6,8.5,2
13,6,30,0,6,11,0.41666666700000005,176,1.0,1,0.192307692,12.38461538,0
3,11,13,1,10,3,2.0,70,0.0,0,0.533333333,22.33333333,0
2,2,9,1,1,2,2.0,48,0.0,0,0.666666667,23.0,0
2,3,4,1,1,1,2.0,9,0.0,0,0.666666667,3.5,0
8,3,19,2,2,6,0.17857142899999998,116,1.0,2,0.34375,13.0,1
