wmc,rfc,lcom,ce,npm,lcom3,dam,cam,bug
10,42,7,12,9,0.638888889,0.5,0.28571428600000004,1
10,21,0,3,1,0.6190476189999999,1.0,0.5,1
17,42,0,10,15,0.5625,0.333333333,0.352941176,2
5,7,10,6,4,2.0,0.0,0.46666666700000003,0
4,4,6,1,4,2.0,0.0,0.5,1
14,19,79,1,11,0.7230769229999999,1.0,0.7857142859999999,1
12,12,66,0,12,2.0,0.0,0.583333333,0
14,25,3,1,13,0.602564103,0.0,0.404761905,0
14,29,67,22,12,0.897435897,0.333333333,0.403846154,4
2,3,1,2,2,2.0,0.0,0.75,0
18,44,0,4,4,0.678733032,0.46153846200000004,0.243055556,3
15,30,21,1,9,0.705357143,0.625,0.32857142899999997,3
6,29,0,7,0,0.45,0.666666667,0.47916666700000005,3
8,15,0,2,0,0.571428571,1.0,0.425,0
16,53,0,21,14,0.46666666700000003,1.0,0.23125,0
11,11,55,12,11,2.0,0.0,0.263636364,2
17,55,12,10,13,0.625,1.0,0.158823529,2
15,18,105,0,15,2.0,0.0,0.311111111,2
4,17,6,0,4,2.0,0.0,0.333333333,0
8,19,0,3,8,0.666666667,1.0,0.34375,0
2,5,1,3,2,2.0,0.0,0.75,1
28,61,0,16,17,0.682539683,1.0,0.157738095,4
7,25,0,5,5,0.520833333,1.0,0.30952381,1
12,47,0,8,12,0.590909091,1.0,0.208333333,0
17,39,0,2,17,0.5,0.5,0.426470588,5
12,12,66,0,12,2.0,0.0,0.583333333,2
5,12,0,1,0,0.6785714290000001,0.0,0.533333333,0
4,19,0,7,0,0.5555555560000001,1.0,0.34375,1
20,51,164,6,16,0.940789474,0.25,0.261111111,2
1,1,0,1,1,2.0,0.0,1.0,0
6,39,0,5,5,0.6,1.0,0.333333333,3
4,13,0,4,4,0.0,1.0,0.5,1
15,54,41,11,10,0.804761905,0.533333333,0.237037037,3
2,12,1,7,1,2.0,0.0,0.833333333,0
18,61,69,16,0,0.8067226890000001,1.0,0.237373737,11
12,13,0,0,8,0.454545455,1.0,0.444444444,1
13,39,72,7,12,0.833333333,1.0,0.23076923100000002,0
13,36,58,7,13,0.791666667,1.0,0.201923077,1
5,20,0,5,5,0.5,1.0,0.4,0
64,151,1520,33,40,0.893046107,0.595238095,0.112169312,7
2,4,1,3,2,2.0,0.0,0.666666667,0
5,21,0,3,0,0.375,0.0,0.5,2
8,12,8,4,8,0.5,1.0,0.3125,2
27,64,171,11,22,0.7692307690000001,1.0,0.102564103,3
5,6,0,0,0,0.125,0.0,0.55,0
12,21,0,0,9,0.13636363599999998,0.0,0.291666667,1
2,16,0,5,1,0.0,1.0,0.666666667,0
8,22,0,6,6,0.14285714300000002,1.0,0.23214285699999998,1
4,8,4,2,2,0.857142857,1.0,0.583333333,2
1,2,0,0,1,2.0,0.0,1.0,0
11,31,23,9,5,0.55,1.0,0.313131313,2
3,9,3,3,0,2.0,0.0,0.5555555560000001,0
18,33,141,4,18,0.8235294120000001,1.0,0.296296296,4
27,43,13,0,13,0.600961538,1.0,0.25308642,1
23,28,247,14,22,0.9090909090000001,1.0,0.273913043,4
3,7,3,5,2,2.0,0.0,0.5,4
3,4,3,1,3,2.0,0.0,0.666666667,1
6,17,3,3,4,0.2,1.0,0.611111111,3
12,37,0,5,9,0.454545455,1.0,0.41666666700000005,0
11,25,0,3,6,0.52,1.0,0.242857143,0
10,12,17,1,8,0.5555555560000001,0.75,0.36,0
9,10,2,0,8,0.666666667,0.666666667,0.5,0
7,22,9,6,6,0.7777777779999999,0.333333333,0.333333333,1
6,16,0,2,0,0.46666666700000003,1.0,0.611111111,0
2,2,1,0,2,2.0,0.0,1.0,1
2,4,1,1,1,2.0,0.0,0.666666667,0
6,14,15,5,5,2.0,0.0,0.333333333,1
10,18,0,2,10,0.333333333,1.0,0.375,0
2,2,1,0,2,2.0,0.0,1.0,2
2,7,1,0,2,2.0,0.0,0.5,0
4,12,4,7,3,0.666666667,1.0,0.5,0
8,15,0,1,7,0.571428571,1.0,0.35,1
6,7,15,2,6,2.0,0.0,0.444444444,1
8,25,22,0,6,0.428571429,1.0,0.17857142899999998,0
2,3,1,1,2,1.0,0.0,0.875,1
6,19,15,0,4,1.12,0.0,0.5,3
16,99,0,24,0,0.691666667,0.9375,0.2,8
11,21,1,4,9,0.514285714,1.0,0.24675324699999998,0
4,6,0,0,2,0.875,0.125,0.5555555560000001,0
1,1,0,2,1,2.0,0.0,1.0,0
6,15,0,3,6,0.46666666700000003,1.0,0.5,0
11,25,0,3,7,0.625,1.0,0.287878788,1
4,18,0,0,3,1.166666667,0.5,0.333333333,0
7,14,0,1,7,0.0,1.0,0.428571429,1
3,8,0,3,3,0.0,1.0,0.833333333,1
15,22,0,1,14,0.8520408159999999,0.28571428600000004,0.380952381,3
17,26,124,4,16,0.875,1.0,0.175,3
14,29,53,4,6,0.692307692,1.0,0.333333333,0
6,17,13,1,5,0.9,0.5,0.6,2
13,30,0,6,11,0.41666666700000005,1.0,0.192307692,0
3,4,0,1,2,0.666666667,0.333333333,0.583333333,1
3,13,1,10,3,2.0,0.0,0.533333333,2
3,5,1,1,1,0.5,1.0,0.666666667,3
3,8,3,0,1,1.0,0.0,0.333333333,0
6,18,9,1,5,0.2,1.0,0.333333333,1
8,19,2,3,6,0.17857142899999998,1.0,0.34375,2
6,18,5,0,1,0.6,0.5,0.7,0
19,48,71,6,7,0.75,1.0,0.21052631600000002,1
18,18,153,1,18,2.0,0.0,0.37037037,2
11,28,19,12,5,0.64,1.0,0.324675325,2
3,4,3,0,3,1.4375,0.0,0.5,1
9,27,0,7,9,0.0,1.0,0.25925925899999996,0
2,5,1,0,1,2.0,0.0,0.5,0
8,13,0,2,7,0.5,0.875,0.3,3
5,16,0,2,5,0.5,1.0,0.4,1
2,2,1,2,2,2.0,0.0,1.0,0
8,12,6,1,0,0.80952381,0.333333333,0.375,2
5,6,10,1,4,2.0,0.0,1.0,0
7,13,15,3,7,0.333333333,1.0,0.514285714,4
16,24,0,2,12,0.38333333299999994,1.0,0.328125,0
7,10,21,1,7,2.0,0.0,0.5,0
10,24,0,5,10,0.444444444,1.0,0.3,1
2,4,0,1,1,0.0,1.0,0.75,2
2,4,1,2,0,2.0,0.0,0.666666667,0
3,7,3,2,3,2.0,0.0,0.833333333,1
7,15,0,8,6,0.5,0.5,0.333333333,6
13,25,0,2,10,0.523809524,0.857142857,0.20879120899999998,4
1,2,0,0,1,2.0,0.0,1.0,0
5,5,10,0,5,2.0,0.0,0.6,0
5,14,0,4,0,0.75,0.333333333,0.4,0
12,33,12,12,8,0.690909091,0.8666666670000001,0.21875,0
16,40,70,7,16,0.72,1.0,0.5,2
