wmc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,cam,ic,cbm,bug
5,19,18,0,8,15,4,0.7857142859999999,84,0.0,0.4,0,0,1
10,13,41,7,1,12,9,0.638888889,286,0.5,0.28571428600000004,2,6,3
10,4,38,0,0,4,9,0.38888888899999996,287,1.0,0.34,0,0,0
4,3,7,6,2,2,1,2.0,26,0.0,0.5,2,3,0
25,20,82,160,5,18,8,0.881944444,596,0.833333333,0.197916667,2,8,10
5,13,6,10,10,3,0,2.0,8,0.0,0.6,0,0,0
13,13,61,0,4,9,0,0.881944444,553,0.333333333,0.179487179,0,0,1
17,6,34,34,1,6,7,0.7222222220000001,323,0.7777777779999999,0.173611111,1,2,3
13,8,36,58,1,7,13,0.791666667,191,1.0,0.201923077,0,0,0
8,30,8,28,28,2,8,2.0,8,0.0,0.3,0,0,0
3,3,7,0,2,1,3,0.14285714300000002,125,0.14285714300000002,0.5555555560000001,0,0,0
8,2,19,0,1,1,8,0.428571429,65,0.0,0.3,1,4,0
6,5,7,15,3,3,0,2.0,9,0.0,0.41666666700000005,0,0,0
7,10,8,21,7,3,0,2.0,10,0.0,0.4,0,0,0
6,10,25,0,2,10,6,0.666666667,91,0.0,0.333333333,0,0,1
6,2,17,0,0,2,6,0.1,90,1.0,0.583333333,1,1,1
2,7,5,0,4,5,1,0.833333333,57,0.0,0.75,0,0,1
27,20,64,167,13,11,22,0.7615384620000001,446,1.0,0.102564103,2,6,10
2,2,4,1,1,1,1,2.0,13,0.0,0.666666667,1,1,1
5,8,6,0,8,0,0,0.125,100,0.0,0.55,0,0,0
13,79,22,0,79,0,10,0.125,145,0.0,0.294871795,1,1,2
2,7,16,0,2,5,1,0.0,66,1.0,0.666666667,0,0,0
8,16,22,0,11,6,6,0.14285714300000002,100,1.0,0.23214285699999998,2,2,4
7,4,21,13,2,2,3,0.875,185,0.75,0.36666666700000006,1,2,4
1,36,2,0,36,0,1,2.0,5,0.0,1.0,0,0,0
12,9,33,34,0,9,5,0.590909091,453,1.0,0.283333333,1,5,0
4,16,6,6,15,3,3,1.0,15,0.0,0.833333333,0,0,0
7,4,17,5,1,4,5,0.666666667,109,1.0,0.39285714299999996,0,0,2
5,11,6,10,8,4,2,2.0,8,0.0,0.46666666700000003,0,0,0
20,57,36,176,52,5,19,0.894736842,193,0.5,0.291666667,0,0,2
21,10,47,108,3,8,15,0.9208333329999999,817,0.333333333,0.26875,0,0,4
5,10,6,4,9,1,5,0.5,19,1.0,0.8,0,0,1
4,4,14,4,1,3,2,0.833333333,74,0.0,0.41666666700000005,1,2,0
6,4,10,15,1,3,6,2.0,31,0.0,0.666666667,1,3,3
7,9,20,5,2,8,3,0.796296296,191,0.0,0.27777777800000003,0,0,0
3,5,6,3,1,4,3,2.0,18,0.0,0.666666667,0,0,0
1,14,2,0,11,3,0,2.0,11,0.0,1.0,0,0,0
7,13,46,0,2,12,7,0.69047619,357,1.0,0.30952381,0,0,4
18,30,39,0,28,3,17,0.81372549,432,0.833333333,0.426470588,0,0,0
12,3,12,66,3,0,12,2.0,12,0.0,0.583333333,0,0,1
5,5,12,0,4,1,0,0.6785714290000001,95,0.0,0.533333333,0,0,0
5,8,20,0,2,6,0,0.625,389,1.0,0.325,1,1,2
23,31,57,203,25,6,18,0.9343434340000001,565,0.222222222,0.22173913,0,0,6
1,19,1,0,18,1,1,2.0,1,0.0,1.0,0,0,0
9,9,51,14,3,6,5,0.703125,414,0.75,0.303571429,0,0,0
6,12,12,1,1,11,6,0.64,173,1.0,0.35,0,0,0
35,16,103,317,3,16,28,0.81372549,865,0.8888888890000001,0.152380952,1,10,5
8,2,23,26,0,2,6,0.9285714290000001,155,0.0,0.5,0,0,2
2,5,5,0,1,5,2,1.166666667,31,0.0,0.666666667,0,0,0
11,11,37,3,3,10,6,0.7571428570000001,281,0.0,0.2125,0,0,0
5,8,6,10,6,3,0,2.0,8,0.0,0.46666666700000003,0,0,0
9,10,26,0,3,8,8,0.3125,143,0.0,0.222222222,2,4,7
7,7,21,9,2,6,6,0.7777777779999999,120,0.333333333,0.333333333,2,3,1
3,5,4,3,4,2,1,2.0,6,0.0,0.666666667,0,0,0
12,9,39,0,1,8,11,0.454545455,480,1.0,0.229166667,2,2,4
14,5,29,53,1,4,6,0.692307692,514,1.0,0.333333333,1,4,1
