wmc,dit,cbo,rfc,ce,npm,loc,cam,bug
10,6,6,50,5,9,379,0.444444444,2
21,5,12,77,5,13,660,0.214285714,1
2,2,3,3,2,1,6,0.75,0
4,1,2,5,2,4,10,0.875,0
12,5,8,13,1,11,26,0.41666666700000005,1
9,6,5,37,3,8,207,0.45833333299999995,1
3,1,4,3,1,3,3,1.0,0
5,1,6,15,5,4,45,0.7,1
3,1,2,7,0,3,24,0.833333333,0
2,2,5,15,4,1,58,0.75,0
3,2,6,25,5,1,87,0.666666667,1
8,6,2,11,1,8,29,0.625,1
1,1,0,2,0,1,4,1.0,0
10,6,5,43,3,9,239,0.444444444,2
2,2,4,7,3,1,16,0.75,0
5,1,8,6,2,5,26,0.8,0
25,2,22,57,14,25,404,0.195,1
2,1,6,9,5,1,100,1.0,0
10,2,1,34,0,7,249,0.34,0
20,6,10,57,8,17,308,0.18045112800000002,2
7,6,1,34,0,5,172,0.28571428600000004,0
5,1,4,26,4,4,109,0.583333333,0
6,1,1,7,0,5,10,0.6,0
43,2,27,150,26,26,1815,0.11627907,1
9,2,0,33,0,6,220,0.355555556,0
2,2,3,8,2,1,28,0.75,0
4,1,4,23,4,4,159,0.583333333,4
3,2,8,19,7,3,114,0.5555555560000001,1
1,1,3,1,1,1,1,1.0,0
6,1,17,73,16,6,644,0.833333333,1
2,2,2,10,1,2,47,0.666666667,0
7,1,11,24,6,6,73,0.14285714300000002,2
2,1,10,15,9,2,46,0.5,0
