wmc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,cam,amc,max_cc,avg_cc,bug
2,2,5,1,0,2,1,2.0,24,1.0,0.75,10.5,3,1.5,0
12,19,44,66,2,18,6,2.0,259,0.0,0.35,20.58333333,8,2.0833,0
10,13,48,45,4,13,2,1.066666667,206,1.0,0.5,19.1,4,1.2,0
2,5,7,1,0,5,1,2.0,26,1.0,0.75,11.5,4,2.0,1
8,4,38,0,3,1,5,0.642857143,255,0.5,0.28571428600000004,30.625,2,0.875,0
2,10,18,1,0,10,1,2.0,108,1.0,0.75,52.5,10,5.0,0
2,7,14,1,0,7,1,2.0,39,1.0,0.75,18.0,2,1.0,0
4,7,18,6,2,5,1,2.0,66,0.0,0.41666666700000005,15.5,2,1.5,0
3,4,13,3,0,4,1,1.5,58,1.0,0.5555555560000001,18.0,4,2.0,0
35,34,124,139,4,30,3,1.005462185,2273,0.057142857000000005,0.318627451,61.94285714,14,2.2571,0
5,1,12,2,1,0,5,0.625,46,1.0,0.7,7.8,3,1.2,0
1,0,2,0,0,0,1,2.0,5,0.0,1.0,3.0,0,0.0,0
2,1,3,1,0,1,1,2.0,7,0.0,1.0,2.5,1,0.5,0
8,4,37,18,1,3,4,0.957142857,271,0.5,0.39285714299999996,31.625,6,1.625,0
19,31,75,13,22,9,11,0.644444444,623,0.8,0.134920635,31.52631579,6,2.3684,0
3,2,16,0,2,0,3,0.833333333,69,1.0,0.5555555560000001,21.0,1,0.6667,0
2,4,4,1,0,4,1,2.0,12,0.0,0.75,5.0,1,0.5,0
23,10,72,185,1,9,17,1.0031347959999999,985,0.224137931,0.286956522,39.30434783,12,2.1304,0
2,5,8,1,0,5,2,2.0,27,0.0,0.666666667,12.5,1,0.5,0
0,0,0,0,0,0,0,2.0,11,0.0,0.0,0.0,0,0.0,0
5,4,16,2,4,0,4,0.75,81,1.0,0.433333333,14.6,2,1.4,0
2,8,12,1,0,8,2,2.0,39,0.0,0.75,18.5,2,1.0,0
4,23,20,0,14,9,2,2.0,89,0.0,0.583333333,21.25,4,2.25,1
42,144,206,815,87,57,38,1.0090592329999999,1133,0.2,0.07871396900000001,25.14285714,11,2.8571,4
2,7,14,1,0,7,1,2.0,74,1.0,0.75,35.5,5,2.5,0
4,16,9,6,12,4,3,1.0,43,1.0,0.25,9.0,2,1.5,0
18,18,47,119,2,16,11,0.882352941,209,0.5,0.225490196,10.38888889,5,1.1667,0
2,1,7,1,0,1,1,2.0,42,1.0,0.666666667,19.5,1,0.5,0
6,8,25,3,0,8,6,0.7,121,1.0,0.333333333,18.83333333,6,2.0,0
0,0,0,0,0,0,0,2.0,59,0.0,0.0,0.0,0,0.0,0
11,1,23,35,1,0,10,0.6333333329999999,305,1.0,0.28571428600000004,26.45454545,6,1.7273,0
7,3,8,15,3,0,7,0.833333333,34,1.0,0.7142857140000001,3.428571429,1,0.8571,0
14,13,64,59,1,13,11,0.9567307690000001,665,1.0,0.6785714290000001,45.35714286,9,1.5714,0
1,4,1,0,2,2,1,2.0,1,0.0,1.0,0.0,1,1.0,0
2,5,6,1,0,5,1,2.0,25,1.0,0.75,11.0,4,2.0,1
10,8,24,17,0,8,7,0.851851852,197,1.0,0.32,18.1,5,1.9,0
