wmc,dit,cbo,rfc,ca,ce,npm,lcom3,loc,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
6,5,13,16,1,12,2,0.933333333,57,0.846153846,0.44,2,4,8.0,1,0.6667,0
4,4,14,20,1,13,3,1.133333333,82,0.959183673,0.5555555560000001,3,5,18.25,1,0.5,0
6,4,28,41,1,27,1,1.0,167,0.857142857,0.404761905,1,3,26.33333333,5,1.5,0
2,3,16,13,1,15,2,2.0,82,0.875,0.625,1,1,40.0,7,3.5,0
2,3,17,19,1,16,2,2.0,96,0.875,0.625,1,1,47.0,1,0.5,0
266,1,46,268,2,44,266,0.995687332,826,0.0,0.029559192,0,0,2.078947368,1,0.9962,0
2,3,13,17,3,10,2,2.0,65,0.875,0.666666667,1,1,31.5,5,2.5,0
5,6,17,19,1,16,1,0.916666667,71,0.884615385,0.666666667,2,3,12.6,1,0.6,0
2,3,20,35,0,20,2,2.0,176,0.875,0.625,2,2,87.0,1,0.5,0
2,3,9,8,0,9,1,2.0,30,0.857142857,0.666666667,1,1,14.0,4,2.0,0
2,3,17,14,5,12,2,2.0,55,0.875,0.625,1,1,26.5,4,2.0,0
4,3,9,24,2,7,2,0.7777777779999999,101,0.955555556,0.666666667,2,3,23.5,3,1.25,0
2,1,4,6,0,4,0,1.0,21,0.0,1.0,0,0,8.0,0,0.0,0
3,4,8,8,6,2,2,1.166666667,29,0.9827586209999999,1.0,3,6,7.666666667,1,0.3333,0
2,3,25,52,1,24,2,1.0,218,0.875,0.625,1,1,107.0,9,4.5,0
5,6,13,16,1,12,1,0.916666667,62,0.884615385,0.666666667,2,3,10.8,1,0.6,0
4,1,21,43,0,21,2,0.962962963,289,0.0,0.47619047600000003,0,0,69.0,15,4.0,0
2,3,21,19,1,20,2,2.0,169,0.875,0.625,1,1,83.5,4,2.0,0
5,6,15,18,0,15,1,0.916666667,64,0.884615385,0.666666667,2,3,11.2,1,0.6,0
5,6,16,19,4,12,1,0.916666667,89,0.884615385,0.666666667,2,3,16.2,1,0.6,0
2,3,15,21,1,14,2,2.0,102,0.875,0.625,1,1,50.0,6,3.0,0
4,6,9,13,0,9,1,1.0,43,0.92,0.5555555560000001,2,2,9.0,1,0.5,0
2,3,15,14,1,14,2,2.0,83,0.875,0.625,1,1,40.5,1,0.5,0
4,2,30,66,0,30,2,0.8205128209999999,680,0.894736842,0.5555555560000001,0,0,165.75,11,3.0,0
2,3,3,5,0,3,2,2.0,11,0.961538462,0.666666667,2,2,4.5,1,0.5,0
3,3,22,18,1,21,2,1.0,71,0.7777777779999999,0.444444444,1,1,22.33333333,1,0.6667,0
4,4,20,38,1,19,3,1.0,192,0.978723404,0.5555555560000001,3,11,46.25,1,0.5,0
2,3,24,31,1,23,2,1.0,133,0.875,0.625,1,1,64.5,6,3.0,0
2,3,14,22,2,12,2,2.0,120,0.875,0.625,1,1,59.0,12,6.0,0
3,4,45,71,6,39,2,1.25,599,0.894736842,0.444444444,1,2,197.33333330000002,1,0.6667,0
2,3,24,24,1,23,2,1.0,128,0.875,0.625,1,1,62.5,1,0.5,0
2,2,19,18,1,18,2,2.0,78,0.8,0.666666667,0,0,38.0,1,0.5,0
2,3,20,15,1,19,2,2.0,68,0.875,0.625,1,1,33.0,1,0.5,0
2,1,31,33,0,31,0,1.0,156,0.0,1.0,0,0,62.0,0,0.0,0
5,6,14,17,1,13,1,0.916666667,60,0.884615385,0.666666667,2,3,10.4,1,0.6,0
2,3,7,11,1,6,2,2.0,42,0.875,0.625,1,1,20.0,3,1.5,0
5,4,15,18,3,12,4,1.0,70,0.94,0.5,3,6,12.4,1,0.6,0
2,3,12,9,4,8,2,2.0,26,0.875,0.666666667,1,1,12.0,3,1.5,0
2,3,19,18,1,18,2,2.0,70,0.875,0.6,1,1,34.0,1,0.5,0
5,6,16,17,2,14,1,0.916666667,61,0.8888888890000001,0.666666667,2,3,10.6,1,0.6,0
5,5,18,22,1,17,1,0.916666667,81,0.88,0.666666667,2,3,14.6,1,0.6,0
2,3,4,9,0,4,2,1.0,45,0.8,0.625,2,3,21.0,2,1.0,0
2,3,9,8,1,8,2,2.0,30,0.857142857,0.666666667,1,1,14.0,2,1.0,0
2,3,4,9,0,4,2,1.0,45,0.8,0.625,2,3,21.0,2,1.0,0
5,4,11,11,1,10,1,2.0,35,0.8857142859999999,0.7,1,2,6.0,2,1.0,0
2,1,46,48,0,46,0,1.0,231,0.0,1.0,0,0,92.0,0,0.0,0
5,6,13,16,1,12,1,0.916666667,64,0.884615385,0.666666667,2,3,11.2,4,1.2,0
2,3,16,20,4,12,2,2.0,81,0.875,0.625,2,2,39.5,1,0.5,0
4,6,10,13,1,9,1,1.0,43,0.92,0.5555555560000001,2,2,9.0,1,0.5,0
5,6,29,51,4,25,4,0.916666667,241,0.9464285709999999,0.666666667,5,9,46.6,1,0.6,0
2,3,6,7,1,5,2,2.0,25,0.857142857,0.666666667,1,1,11.0,2,1.0,0
2,3,19,20,1,18,2,2.0,90,0.875,0.625,1,1,44.0,1,0.5,0
15,1,33,94,0,33,4,0.9523809520000001,861,0.0,0.26,0,0,56.0,10,4.2667,1
10,3,21,57,3,18,3,1.068376068,671,0.46666666700000003,0.37777777799999995,2,2,64.8,17,4.7,0
2,3,19,22,2,17,2,2.0,80,0.875,0.625,1,1,39.0,1,0.5,0
2,3,8,17,1,7,2,1.0,74,0.857142857,0.666666667,2,2,35.5,5,2.5,0
2,1,15,17,0,15,0,1.0,76,0.0,1.0,0,0,30.0,0,0.0,0
2,3,20,15,1,19,2,1.0,83,0.875,0.625,1,1,40.0,1,0.5,0
3,3,13,12,3,10,2,1.5,53,0.7777777779999999,0.46666666700000003,1,1,16.33333333,3,1.3333,0
6,6,23,19,10,13,1,0.8666666670000001,72,0.857142857,0.7333333329999999,2,3,10.5,1,0.6667,0
2,3,19,15,2,17,2,2.0,78,0.875,0.625,1,1,38.0,9,4.5,0
2,3,17,24,1,16,2,2.0,106,0.875,0.6,1,1,52.0,1,0.5,1
5,4,9,14,1,8,1,1.0,48,0.869565217,0.5,2,4,8.0,1,0.6,0
2,1,3,4,0,3,2,2.0,12,0.0,0.75,0,0,5.0,1,0.5,1
2,3,25,14,4,21,2,2.0,55,0.875,0.625,1,1,26.5,3,1.5,0
