wmc,dit,cbo,rfc,ca,ce,npm,loc,dam,cam,amc,max_cc,avg_cc,bug
7,5,21,23,0,21,2,87,0.0,0.46666666700000003,11.0,1,0.7143,0
4,3,5,16,0,5,3,66,0.333333333,0.666666667,14.75,2,0.75,0
3,3,21,28,0,21,2,134,0.0,0.444444444,43.66666667,7,3.3333,0
5,5,23,28,0,23,1,127,0.0,0.666666667,23.8,1,0.6,0
5,4,14,21,1,13,4,97,0.0,0.583333333,17.6,1,0.6,0
4,3,28,33,5,23,2,205,0.25,0.5,49.25,1,0.75,4
4,1,146,7,146,0,2,94,0.333333333,0.5,20.25,1,0.5,0
2,3,20,26,0,20,2,84,0.0,0.666666667,41.0,1,0.5,0
2,3,10,6,0,10,2,19,0.0,0.666666667,8.5,1,0.5,0
5,5,25,28,0,25,1,115,0.0,0.666666667,21.4,1,0.6,0
9,6,25,51,1,25,1,260,0.25,0.708333333,27.44444444,1,0.7778,1
4,4,26,45,0,26,2,365,1.0,0.5,90.0,4,2.25,0
4,5,6,11,0,6,1,37,0.0,0.5555555560000001,7.5,1,0.5,0
1,1,0,2,0,0,1,4,0.0,1.0,3.0,0,0.0,0
5,6,15,39,1,14,4,188,0.0,0.666666667,36.0,1,0.6,0
10,4,38,68,5,33,8,475,0.0,0.740740741,46.1,2,0.9,0
3,4,8,7,0,8,1,19,0.0,0.666666667,5.333333333,1,0.6667,0
7,5,12,17,1,11,2,67,0.0,0.666666667,8.142857142999999,2,0.8571,0
8,5,19,24,0,19,2,112,0.0,0.428571429,12.625,5,1.25,1
2,4,23,25,0,23,2,160,0.0,0.625,79.0,1,0.5,0
2,3,12,9,0,12,2,31,0.0,0.625,14.5,1,0.5,0
5,1,35,68,2,33,0,413,0.666666667,0.5,80.4,14,4.2,1
7,4,11,18,0,11,4,120,0.28571428600000004,0.444444444,15.14285714,4,1.2857,0
2,2,11,13,0,11,2,53,0.0,0.666666667,25.5,1,0.5,0
2,4,22,36,0,22,2,189,0.0,0.625,93.0,1,0.5,0
7,5,12,17,1,11,2,63,0.0,0.666666667,7.571428571,2,0.8571,0
2,1,9,8,4,5,1,26,0.0,0.5,12.0,4,2.0,0
2,4,15,14,0,15,2,56,0.0,0.666666667,27.0,1,0.5,0
4,5,9,14,0,9,1,43,0.0,0.5555555560000001,9.0,1,0.5,0
5,5,7,12,0,7,2,58,0.0,0.5,10.0,1,0.6,0
2,3,13,9,6,7,2,22,0.0,0.666666667,10.0,1,0.5,0
2,3,12,8,0,12,2,28,0.0,0.6,13.0,2,1.0,0
5,4,4,7,0,4,1,18,0.0,0.6,2.6,1,0.8,2
8,4,46,30,26,20,3,189,0.25,0.404761905,22.125,5,1.625,0
10,3,27,48,4,23,8,549,0.0625,0.23,52.3,20,3.2,0
2,3,12,10,0,12,2,29,0.0,0.6,13.5,1,0.5,0
5,6,26,46,2,24,4,175,0.0,0.666666667,33.4,1,0.6,0
2,3,13,14,0,13,2,48,0.0,0.666666667,23.0,1,0.5,0
1,1,4,1,3,1,1,3,0.0,1.0,0.0,1,1.0,0
2,3,5,15,0,5,2,63,0.0,0.666666667,30.0,3,1.5,0
2,3,5,6,0,5,2,20,0.0,0.666666667,9.0,1,0.5,0
1,4,1,2,0,1,1,4,0.0,1.0,3.0,0,0.0,0
4,5,9,13,0,9,1,43,0.0,0.5555555560000001,9.0,1,0.5,0
