wmc,dit,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,mfa,cam,amc,max_cc,avg_cc,bug
2,3,16,16,1,0,16,2,2.0,127,0.9,0.625,62.5,1,0.5,0
2,4,23,19,1,0,23,2,1.0,72,0.933333333,0.6,34.5,1,0.5,0
4,6,8,13,4,0,8,1,1.0,42,0.913043478,0.5555555560000001,8.75,1,0.5,0
4,5,23,53,4,2,21,2,0.833333333,289,0.9607843140000001,0.5555555560000001,70.75,1,0.5,0
2,2,11,10,1,0,11,2,2.0,39,0.8,0.666666667,18.5,1,0.5,0
4,3,23,45,4,0,23,2,0.9090909090000001,483,0.904761905,0.5555555560000001,117.0,10,3.25,0
2,3,24,26,1,0,24,2,1.0,97,0.857142857,0.625,47.0,1,0.5,0
4,4,28,37,6,0,28,2,1.0,165,0.8235294120000001,0.34375,39.75,1,0.75,1
2,4,11,8,1,0,11,2,1.0,30,0.933333333,0.6,13.5,1,0.5,0
2,7,5,5,1,0,5,1,2.0,13,0.9655172409999999,0.75,5.0,1,0.5,0
2,3,20,16,1,0,20,2,1.0,56,0.857142857,0.625,26.5,4,2.0,0
2,3,13,14,1,0,13,2,2.0,46,0.857142857,0.625,22.0,1,0.5,0
2,4,28,28,1,0,28,2,1.0,184,0.933333333,0.6,90.5,1,0.5,0
2,3,13,18,1,0,13,2,2.0,68,0.857142857,0.625,33.0,1,0.5,1
5,6,8,14,8,0,8,1,1.0,45,0.875,0.5,7.4,1,0.6,0
5,6,8,14,8,0,8,1,1.0,45,0.875,0.5,7.4,1,0.6,0
5,6,14,17,8,0,14,1,1.0,52,0.88,0.5,8.8,1,0.6,0
5,5,8,13,10,0,8,1,2.0,49,0.8857142859999999,0.7,8.8,3,1.2,0
3,3,13,16,3,0,13,2,1.5,97,0.75,0.46666666700000003,31.0,3,1.3333,0
2,3,15,15,1,0,15,2,2.0,62,0.857142857,0.625,30.0,1,0.5,0
4,5,28,40,4,1,27,3,1.0,141,0.9607843140000001,0.5555555560000001,33.5,1,0.5,0
5,6,8,14,8,0,8,1,1.0,50,0.875,0.5,8.4,1,0.6,0
2,7,10,11,1,0,10,1,2.0,47,0.9655172409999999,0.75,22.0,7,3.5,0
4,6,8,13,4,0,8,1,1.0,42,0.913043478,0.5555555560000001,8.75,1,0.5,0
4,5,16,19,4,4,12,3,1.0,75,0.9607843140000001,0.5555555560000001,17.0,1,0.5,0
1,6,1,2,0,0,1,1,2.0,4,1.0,1.0,3.0,0,0.0,0
5,5,18,56,4,2,16,4,0.916666667,245,0.942307692,0.666666667,47.4,1,0.6,1
4,5,14,22,4,1,13,3,1.0,91,0.9607843140000001,0.5555555560000001,21.0,1,0.5,0
4,4,4,7,6,0,4,1,2.0,16,0.9032258059999999,0.4375,3.0,1,0.75,0
5,6,12,18,4,0,12,1,0.916666667,79,0.875,0.666666667,14.2,1,0.6,0
4,5,23,44,4,2,21,3,1.0,215,0.9607843140000001,0.5555555560000001,52.0,1,0.5,0
4,5,12,24,4,1,11,3,1.0,94,0.9607843140000001,0.5555555560000001,21.75,1,0.5,0
4,6,9,13,4,0,9,1,1.0,43,0.916666667,0.5555555560000001,9.0,1,0.5,0
2,3,9,12,1,0,9,2,2.0,41,0.857142857,0.625,19.5,1,0.5,0
7,4,20,25,21,4,16,2,0.875,155,0.9,0.380952381,20.57142857,3,1.4286,0
5,6,8,14,8,0,8,1,1.0,45,0.88,0.5,7.4,1,0.6,0
5,1,22,30,6,1,21,3,0.5,185,0.0,0.5625,35.6,1,0.6,1
6,3,20,42,11,0,20,2,0.775,454,0.791666667,0.75,73.33333333,6,2.6667,1
7,1,8,27,15,1,7,3,0.666666667,244,0.0,0.5,33.42857143,5,1.8571,0
2,4,5,9,1,0,5,2,1.0,46,0.9736842109999999,0.6,21.5,2,1.0,0
