wmc,dit,cbo,rfc,ca,ce,npm,loc,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
1,1,1,5,0,1,0,16,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,17,0.0,0.0,0,0,12.0,0,0.0,0
3,1,13,33,0,13,3,149,0.0,0.666666667,0,0,46.33333333,4,1.6667,0
1,1,0,5,0,0,0,18,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,17,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,20,0.0,0.0,0,0,12.0,0,0.0,0
3,1,8,20,0,8,3,135,0.0,0.666666667,0,0,42.66666667,4,1.6667,0
1,1,1,5,0,1,0,21,0.0,0.0,0,0,12.0,0,0.0,0
2,1,9,20,0,9,2,86,0.0,0.625,0,0,41.5,4,2.0,0
1,1,0,5,0,0,0,17,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,21,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,26,0.0,0.0,0,0,12.0,0,0.0,0
1,1,2,5,2,0,0,22,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,17,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,23,0.0,0.0,0,0,12.0,0,0.0,0
1,1,2,5,1,1,0,21,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,51,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,26,0.0,0.0,0,0,12.0,0,0.0,0
3,1,10,20,0,10,3,102,0.0,0.666666667,0,0,31.66666667,4,1.6667,0
1,1,1,5,0,1,0,16,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,22,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,2,0,0,1,47,0.0,1.0,0,0,3.0,0,0.0,0
1,1,1,5,0,1,0,51,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,26,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,21,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,19,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,20,0.0,0.0,0,0,12.0,0,0.0,0
3,1,7,15,0,7,3,96,0.0,0.666666667,0,0,30.0,3,1.6667,0
2,1,10,23,0,10,2,112,0.0,0.625,0,0,53.5,8,4.0,0
1,1,1,5,0,1,0,19,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,24,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,24,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,17,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,22,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,20,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,16,0.0,0.0,0,0,12.0,0,0.0,0
3,1,10,31,0,10,3,123,0.0,0.666666667,0,0,38.66666667,2,1.0,0
1,1,0,5,0,0,0,18,0.0,0.0,0,0,12.0,0,0.0,0
4,1,7,25,0,7,3,149,0.0,0.5,0,0,35.75,5,2.75,0
1,1,0,5,0,0,0,20,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,20,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,2,0,0,1,4,0.0,1.0,0,0,3.0,0,0.0,0
1,1,0,5,0,0,0,18,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,17,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,20,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,18,0.0,0.0,0,0,12.0,0,0.0,0
5,5,7,20,0,7,2,60,0.9722222220000001,0.625,3,6,10.4,1,0.6,0
2,1,2,16,0,2,1,108,0.0,0.5,0,0,53.0,5,2.5,0
3,2,13,16,0,13,3,76,0.666666667,0.5555555560000001,1,1,23.66666667,4,1.6667,0
2,2,15,19,0,15,2,83,0.5,0.75,0,0,40.0,5,2.5,0
3,4,17,31,1,16,1,194,0.978723404,0.75,1,1,61.0,11,3.6667,0
2,5,11,23,0,11,1,94,0.979166667,0.75,1,1,44.0,8,4.0,0
1,1,1,5,0,1,0,16,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,1,0,0,17,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,18,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,33,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,59,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,17,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,24,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,17,0.0,0.0,0,0,12.0,0,0.0,0
2,1,11,11,10,1,1,31,0.0,0.5,0,0,14.5,2,1.0,0
1,1,0,5,0,0,0,18,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,19,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,17,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,19,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,16,0.0,0.0,0,0,12.0,0,0.0,0
