wmc,noc,cbo,rfc,lcom,ce,npm,loc,moa,cam,ic,max_cc,bug
2,0,5,9,1,4,1,49,0,0.75,1,1,1
3,0,1,3,3,0,3,3,0,1.0,0,1,0
13,0,8,17,78,8,13,49,0,1.0,1,1,0
2,0,5,7,1,4,1,17,0,0.75,1,1,0
23,0,10,23,253,8,23,23,0,0.255434783,0,1,0
13,0,3,18,26,0,13,134,0,0.512820513,0,1,0
12,0,8,45,0,5,10,234,1,0.30909090899999997,0,3,1
29,0,23,48,274,1,23,459,0,0.310344828,0,3,0
3,0,8,14,3,7,3,55,0,0.5555555560000001,0,2,0
13,0,8,17,78,8,13,49,0,1.0,1,1,0
2,0,7,6,1,1,2,16,0,1.0,0,1,0
5,0,16,53,8,15,2,364,0,0.52,0,8,0
27,0,59,45,221,5,27,333,3,0.16296296300000002,1,7,0
3,15,17,5,1,2,3,17,0,0.666666667,0,1,0
20,0,23,94,126,23,11,771,5,0.20242915,0,9,1
7,0,25,41,3,9,3,261,1,0.333333333,0,4,0
2,0,5,9,1,4,1,69,0,0.75,2,7,0
8,0,23,61,6,22,2,413,1,0.3,1,6,1
1,0,4,1,0,2,1,1,0,1.0,0,1,0
2,0,3,7,1,1,1,32,0,0.5,0,2,0
3,0,8,14,3,7,3,55,0,0.5555555560000001,0,2,0
10,0,6,18,21,3,10,174,0,0.533333333,0,19,0
5,0,8,5,10,5,5,5,0,0.433333333,0,1,0
2,0,4,14,0,3,2,78,0,0.666666667,0,3,0
9,0,18,17,16,2,9,112,1,0.472222222,0,2,0
6,0,10,9,9,0,4,91,5,0.4,1,1,0
16,0,15,50,68,15,12,365,7,0.2,0,4,0
6,0,11,43,1,11,2,243,1,0.44,2,4,0
5,0,31,8,6,1,3,79,5,0.41666666700000005,1,1,0
10,0,1,14,21,1,10,109,1,0.32,1,7,0
1,0,0,2,0,0,1,7,0,1.0,0,0,0
2,0,2,2,1,0,2,2,0,0.875,0,1,0
14,0,7,17,91,7,14,54,0,1.0,1,1,0
16,0,5,41,0,4,14,254,1,0.257142857,0,3,1
11,0,12,11,55,5,11,11,0,0.33766233799999995,0,1,0
7,15,20,10,11,5,5,39,2,0.47619047600000003,0,1,0
13,0,8,17,78,8,13,49,0,1.0,1,1,0
2,0,5,7,1,4,1,17,0,0.75,1,1,0
12,0,15,42,16,15,10,354,5,0.24242424199999998,0,4,0
2,0,5,7,1,4,1,17,0,0.75,1,1,0
8,0,17,60,10,16,2,495,3,0.2875,0,3,0
2,0,0,10,1,0,2,45,0,0.5,0,4,0
21,6,39,76,182,31,4,495,4,0.111111111,0,2,0
5,2,11,8,8,0,4,26,0,0.6,0,1,0
2,0,15,43,0,14,2,402,0,0.5555555560000001,2,17,0
2,0,5,9,1,4,1,29,0,0.75,1,1,0
2,0,3,9,1,3,1,26,1,1.0,0,0,0
13,0,8,17,78,8,13,49,0,1.0,1,1,0
4,0,0,8,0,0,4,23,0,0.625,0,1,0
3,0,8,14,3,7,3,54,0,0.5555555560000001,0,2,0
13,0,9,19,78,9,13,57,0,1.0,1,1,0
16,0,20,65,88,20,9,367,6,0.158974359,0,5,0
8,0,7,13,10,0,7,75,0,0.34375,0,2,1
13,0,8,17,78,8,13,49,0,1.0,1,1,0
1,0,0,2,0,0,1,77,0,1.0,0,0,0
