rfc,lcom3,dam,ic,cbm,bug
10,2.0,0.0,0,0,0
1,2.0,0.0,0,0,0
67,0.7613636359999999,1.0,0,0,0
2,2.0,0.0,0,0,0
22,0.833333333,1.0,0,0,0
2,2.0,0.0,0,0,0
60,0.841666667,0.9,0,0,0
50,1.05,0.0,0,0,1
25,0.0,1.0,0,0,1
48,0.7857142859999999,1.0,0,0,2
16,2.0,0.0,0,0,0
2,2.0,0.0,0,0,0
2,2.0,0.0,0,0,0
60,0.571428571,1.0,0,0,0
7,0.916666667,0.25,1,1,0
3,2.0,0.0,0,0,0
53,0.844827586,0.75,0,0,1
30,0.0,1.0,0,0,0
2,2.0,0.0,0,0,0
5,2.0,0.0,0,0,0
46,0.5,1.0,0,0,0
2,2.0,0.0,0,0,0
57,0.8222222220000001,1.0,0,0,0
23,1.333333333,1.0,0,0,0
109,0.763736264,1.0,0,0,0
32,2.0,0.0,0,0,0
25,0.675,1.0,1,1,0
2,2.0,0.0,0,0,0
10,0.666666667,1.0,0,0,0
67,0.775119617,1.0,0,0,0
2,2.0,0.0,0,0,0
27,0.75,1.0,0,0,1
8,0.931818182,0.181818182,1,1,0
22,2.0,0.0,0,0,0
9,2.0,0.0,0,0,0
12,0.8,1.0,0,0,0
53,0.64,0.6,0,0,1
80,0.847619048,1.0,0,0,1
61,0.675,1.0,0,0,1
26,0.7,1.0,0,0,2
3,2.0,0.0,0,0,0
30,0.7333333329999999,1.0,1,1,0
7,2.0,0.0,0,0,0
74,0.816666667,1.0,0,0,0
40,0.962566845,0.264705882,1,1,0
