noc,rfc,ce,loc,cam,ic,cbm,amc,max_cc,avg_cc,bug
0,65,11,585,0.3,0,0,96.16666667,39,7.0,0
0,9,5,30,0.666666667,0,0,6.25,1,0.5,0
0,41,11,423,0.41666666700000005,0,0,81.0,17,3.8,0
0,22,3,154,0.5,0,0,24.5,7,3.0,0
0,1,1,1,1.0,0,0,0.0,1,1.0,0
0,22,3,139,0.625,0,0,33.0,4,1.75,1
0,60,10,454,0.25210084,0,0,23.61111111,7,1.8889,0
0,4,2,9,0.75,0,0,3.5,1,0.5,0
1,41,9,220,0.35714285700000004,0,0,26.125,14,2.375,0
0,8,0,104,0.428571429,0,0,13.0,5,1.4286,0
0,1,2,1,1.0,0,0,0.0,1,1.0,0
0,17,5,89,0.5,2,2,16.2,6,1.6,0
0,8,4,27,0.666666667,0,0,5.5,1,0.5,0
11,35,14,183,0.333333333,0,0,21.25,5,1.75,0
0,32,14,230,0.32,0,0,35.83333333,14,2.8333,0
0,2,0,4,1.0,0,0,3.0,0,0.0,0
0,10,3,47,0.27777777800000003,0,0,3.888888889,1,0.8889,0
0,59,12,350,0.21022727300000002,1,1,13.69565217,13,1.6957,0
0,26,11,105,0.4,1,2,16.0,4,1.3333,0
0,33,10,144,0.23214285699999998,0,0,14.66666667,3,1.2222,0
0,68,15,473,0.223214286,0,0,29.93333333,10,1.8,1
0,50,12,279,0.222222222,0,0,13.21052632,7,1.4737,0
0,21,8,88,0.23809523800000001,0,0,9.625,2,0.875,0
0,79,24,438,0.25,0,0,32.53846154,19,2.7692,0
0,18,10,81,0.41666666700000005,0,0,14.6,3,1.0,0
0,9,5,30,0.666666667,0,0,6.25,1,0.5,0
0,14,5,128,0.6,0,0,24.4,5,3.0,0
0,3,3,69,0.0,0,0,6.0,0,0.0,0
0,44,21,243,0.261904762,0,0,28.75,2,1.125,0
0,1,3,1,1.0,0,0,0.0,1,1.0,0
0,24,13,98,0.4,1,2,14.83333333,4,1.3333,0
0,76,17,561,0.225806452,0,0,16.3125,8,1.875,0
0,58,16,459,0.22448979600000002,0,0,29.0,23,2.6667,1
0,24,9,206,0.46666666700000003,1,1,32.83333333,9,2.8333,0
0,2,2,2,0.75,0,0,0.0,1,1.0,0
0,33,14,206,0.41666666700000005,0,0,39.2,5,1.4,0
