dit,cbo,rfc,ce,loc,dam,moa,mfa,cam,max_cc,bug
1,10,38,9,230,1.0,0,0.0,0.375,20,0
1,25,9,4,9,0.0,0,0.0,0.296296296,1,1
2,11,31,11,142,0.0,0,0.75,0.5555555560000001,10,0
2,7,9,7,20,0.0,0,0.875,0.75,1,0
2,10,37,8,390,0.7142857140000001,0,0.541666667,0.3,30,0
1,12,14,12,77,1.0,0,0.0,0.75,4,1
1,14,65,13,552,1.0,1,0.0,0.244897959,26,2
3,7,15,7,46,0.0,0,0.7777777779999999,0.5555555560000001,3,0
3,5,28,3,156,0.0,0,0.962962963,0.666666667,5,0
1,1,8,0,104,1.0,0,0.0,0.428571429,5,0
2,14,35,7,173,1.0,0,0.590909091,0.283333333,3,0
1,11,18,9,126,1.0,0,0.0,0.583333333,1,0
1,9,2,1,2,0.0,0,0.0,0.75,1,0
1,7,4,1,4,0.0,0,0.0,0.7,1,0
1,10,35,9,145,1.0,0,0.0,0.25,3,0
1,0,2,0,4,0.0,0,0.0,1.0,0,0
1,16,31,4,193,0.666666667,1,0.0,0.194285714,4,0
3,11,24,8,188,0.0,0,0.7,0.5,10,0
1,2,22,0,22,0.0,0,0.0,0.204545455,1,0
1,11,27,9,166,1.0,0,0.0,0.5,11,0
1,8,17,6,124,1.0,0,0.0,0.6,5,0
2,9,32,7,219,1.0,1,0.65,0.375,15,0
1,2,4,0,20,1.0,0,0.0,1.0,1,0
1,10,29,10,125,1.0,1,0.0,0.244897959,3,1
1,4,29,3,199,1.0,0,0.0,0.27777777800000003,9,2
1,4,18,4,57,1.0,0,0.0,0.2,1,0
1,11,28,10,122,1.0,0,0.0,0.3125,6,0
1,8,19,1,157,1.0,0,0.0,0.475,2,0
1,8,2,2,2,0.0,0,0.0,0.666666667,1,0
1,15,1,3,1,0.0,0,0.0,1.0,1,1
1,11,6,1,6,0.0,0,0.0,0.45833333299999995,1,0
3,12,19,8,159,1.0,0,0.571428571,0.75,9,0
1,6,22,3,154,1.0,0,0.0,0.5,7,0
2,9,38,9,318,1.0,0,0.5,0.5,22,0
3,12,29,12,151,0.0,0,0.7777777779999999,0.5555555560000001,9,0
3,2,8,1,60,0.0,0,1.0,0.5555555560000001,0,0
1,37,144,30,1164,0.961538462,4,0.0,0.134615385,39,4
2,10,32,10,212,1.0,0,0.75,0.5555555560000001,12,1
1,24,18,7,142,1.0,0,0.0,0.45,5,0
1,15,26,7,159,1.0,2,0.0,0.3,10,0
1,13,35,13,152,1.0,1,0.0,0.244897959,5,1
1,6,4,0,80,0.0,0,0.0,1.0,0,0
1,4,31,0,179,1.0,0,0.0,0.333333333,4,0
2,14,30,12,377,0.0,0,0.857142857,0.666666667,25,0
1,21,47,19,242,1.0,0,0.0,0.5,4,0
3,3,30,3,208,1.0,0,0.806451613,0.46428571399999996,8,0
3,5,9,5,30,1.0,0,0.666666667,0.666666667,1,0
1,17,32,16,244,0.7777777779999999,1,0.0,0.333333333,13,1
1,71,48,10,48,0.0,0,0.0,0.138257576,1,0
1,11,56,10,468,1.0,1,0.0,0.261904762,31,3
4,4,13,4,35,0.0,0,0.9642857140000001,0.5555555560000001,1,2
3,10,30,10,226,1.0,0,0.666666667,0.666666667,16,0
1,12,31,12,132,0.25,0,0.0,0.5,1,0
1,55,154,30,940,1.0,2,0.0,0.097916667,10,0
2,16,50,15,231,0.875,0,0.133333333,0.23809523800000001,3,0
1,29,64,28,394,1.0,2,0.0,0.238636364,11,3
1,22,21,9,112,1.0,0,0.0,0.4,5,0
2,12,29,12,169,1.0,0,0.6,0.666666667,8,0
1,5,1,2,1,0.0,0,0.0,1.0,1,0
1,6,26,3,288,1.0,0,0.0,0.6,9,0
1,17,57,16,503,1.0,0,0.0,0.333333333,30,2
1,19,32,4,211,1.0,0,0.0,0.333333333,9,0
2,14,30,12,187,1.0,1,0.8125,0.5,17,0
2,10,20,7,106,1.0,1,0.5555555560000001,0.4,2,0
2,10,36,10,386,1.0,0,0.6,0.666666667,17,1
1,0,2,0,7,0.0,0,0.0,1.0,0,0
3,7,16,5,70,0.0,0,0.916666667,0.833333333,8,0
1,9,22,9,114,1.0,1,0.0,0.39285714299999996,5,0
2,9,22,9,125,0.0,0,0.75,0.5555555560000001,11,0
1,15,53,7,537,1.0,0,0.0,0.222222222,10,1
