wmc,cbo,rfc,ce,lcom3,loc,dam,moa,cam,cbm,amc,max_cc,bug
15,18,52,15,0.75,271,1.0,4,0.255102041,0,16.53333333,13,1
3,2,8,1,1.5,60,0.0,0,0.5555555560000001,0,15.0,0,0
15,23,33,5,0.47619047600000003,229,1.0,0,0.380952381,0,14.06666667,4,4
2,6,5,4,2.0,14,0.0,0,0.5,0,6.0,1,0
2,11,2,3,2.0,2,0.0,0,0.833333333,0,0.0,1,1
4,8,29,8,0.666666667,141,1.0,0,0.666666667,0,34.0,6,0
4,7,19,7,0.666666667,78,1.0,1,0.444444444,1,18.25,5,4
51,4,71,3,0.86,481,1.0,0,0.236666667,0,8.274509804,3,0
14,14,46,9,0.7307692309999999,544,1.0,0,0.28571428600000004,0,37.28571429,8,0
4,4,31,0,0.5,179,1.0,0,0.333333333,0,42.75,4,0
2,16,30,14,2.0,373,0.0,0,0.666666667,0,185.5,25,0
17,23,77,19,0.8482142859999999,673,0.7142857140000001,6,0.2421875,0,37.76470588,30,0
3,10,25,10,2.0,139,0.0,0,0.5555555560000001,0,45.33333333,10,0
10,33,10,5,2.0,10,0.0,0,0.283333333,0,0.0,1,0
20,31,107,29,0.8728070179999999,844,0.833333333,1,0.185,0,40.6,39,6
15,12,73,12,0.761904762,609,1.0,0,0.27678571399999996,3,39.4,9,0
3,8,24,8,2.0,114,0.0,0,0.5555555560000001,0,37.0,7,0
17,14,58,12,0.90625,444,1.0,2,0.3,0,24.64705882,12,2
3,11,25,11,2.0,156,0.0,0,0.5555555560000001,0,51.0,12,0
3,7,15,7,2.0,46,0.0,0,0.5555555560000001,0,14.33333333,3,0
2,5,30,3,2.0,183,0.0,0,0.666666667,5,90.5,9,1
5,20,51,16,0.0,319,1.0,1,0.666666667,3,62.6,23,1
12,10,12,3,2.0,12,0.0,0,0.28571428600000004,0,0.0,1,0
10,14,35,7,0.0,176,1.0,0,0.283333333,0,16.5,3,2
8,21,64,21,0.535714286,570,1.0,1,0.404761905,2,69.75,4,0
3,4,3,2,2.0,3,0.0,0,0.666666667,0,0.0,1,0
9,38,102,37,0.625,620,1.0,0,0.19642857100000002,0,67.77777778,6,9
11,18,71,16,0.814285714,542,0.857142857,1,0.303030303,3,47.63636364,16,1
3,5,8,5,0.5,21,1.0,0,0.5,0,5.666666667,1,0
12,12,37,7,0.772727273,319,1.0,0,0.25974026,0,24.75,7,1
26,17,31,4,0.943333333,193,0.666666667,1,0.194285714,0,5.961538462,4,0
4,7,16,6,0.333333333,76,1.0,0,0.333333333,0,17.75,5,1
3,13,28,13,2.0,142,0.0,0,0.5555555560000001,0,46.33333333,9,0
23,18,70,17,0.8787878790000001,537,0.0,0,0.181818182,0,21.95652174,5,0
5,14,67,13,0.25,695,1.0,0,0.3125,0,137.8,50,0
43,18,44,0,0.9535147390000001,274,1.0,0,0.29767441899999997,0,4.88372093,1,0
15,28,84,28,0.35714285700000004,507,1.0,0,0.314285714,0,32.73333333,19,2
6,71,45,21,0.9,219,1.0,0,0.36666666700000006,5,35.16666667,8,1
3,7,15,7,2.0,46,0.0,0,0.5555555560000001,0,14.33333333,3,0
5,13,26,6,0.5,151,1.0,0,0.583333333,0,28.8,5,2
6,12,22,10,0.4,194,1.0,0,0.6,0,31.0,9,0
16,34,52,12,0.828571429,428,1.0,0,0.25,4,25.3125,29,2
1,2,1,0,2.0,1,0.0,0,1.0,0,0.0,1,0
4,6,16,6,1.047619048,97,1.0,0,0.666666667,0,21.5,7,0
28,31,106,29,0.877492877,828,0.692307692,3,0.203571429,0,28.10714286,17,3
4,10,29,10,0.666666667,133,1.0,0,0.666666667,0,32.0,6,0
3,6,6,5,2.0,18,0.0,0,0.5,0,5.0,1,0
7,8,17,5,0.5,151,1.0,0,0.566666667,0,19.57142857,5,0
1,10,1,1,2.0,1,0.0,0,1.0,0,0.0,1,0
3,83,6,0,1.5,17,1.0,0,0.7777777779999999,0,4.333333333,0,1
4,13,21,12,2.0,178,0.0,0,0.5,3,43.5,9,0
6,10,13,10,2.0,35,0.0,0,0.36111111100000004,0,4.833333333,1,0
3,11,35,11,0.625,200,1.0,0,0.666666667,0,64.33333333,11,0
5,21,47,19,0.25,242,1.0,0,0.5,0,47.0,4,0
8,3,42,3,0.7857142859999999,202,1.0,0,0.35714285700000004,4,24.0,1,1
1,1,1,0,2.0,1,0.0,0,1.0,0,0.0,1,0
4,11,29,11,0.666666667,212,1.0,0,0.666666667,0,51.25,15,0
6,17,32,16,1.044444444,242,0.7777777779999999,1,0.333333333,0,37.83333333,13,1
5,7,18,6,0.5,153,1.0,2,0.5,0,28.8,4,0
5,22,66,20,0.25,493,1.0,0,0.41666666700000005,0,96.8,1,1
0,0,0,0,2.0,0,0.0,0,0.0,0,0.0,0,0
4,9,29,9,0.666666667,218,1.0,0,0.666666667,0,52.75,16,0
3,5,7,4,0.5,40,1.0,2,0.5,0,11.66666667,3,1
5,12,10,9,0.583333333,46,1.0,2,0.25,0,7.6,1,0
11,16,45,13,0.6166666670000001,250,1.0,3,0.316666667,0,21.18181818,14,0
3,4,3,2,2.0,3,0.0,0,0.666666667,0,0.0,1,0
2,6,7,5,0.0,36,1.0,1,0.625,0,16.0,1,0
3,10,16,10,2.0,56,0.0,0,0.5555555560000001,0,17.66666667,4,0
3,11,27,11,2.0,145,0.0,0,0.5555555560000001,0,47.33333333,10,0
8,8,32,6,0.571428571,219,1.0,2,0.375,0,26.0,15,2
3,2,4,0,0.0,20,1.0,0,1.0,0,5.333333333,1,0
4,5,9,5,0.666666667,31,1.0,0,0.666666667,0,6.5,1,0
4,24,17,9,0.333333333,59,1.0,0,0.333333333,0,13.5,1,0
22,4,44,4,0.8787878790000001,388,1.0,1,0.20105820100000002,0,16.13636364,16,1
6,4,26,4,0.9,171,1.0,0,0.2,0,27.16666667,1,2
5,11,28,10,0.25,122,1.0,0,0.3125,0,23.2,6,0
10,8,20,1,0.666666667,148,1.0,0,0.475,0,13.5,2,0
2,8,2,2,2.0,2,0.0,0,0.666666667,0,0.0,1,0
4,9,13,9,2.0,35,0.0,0,0.583333333,2,7.75,1,0
6,13,6,1,2.0,6,0.0,0,0.45833333299999995,0,0.0,1,0
5,12,19,8,0.75,159,1.0,0,0.75,0,30.6,9,0
6,6,22,3,0.0,154,1.0,0,0.5,0,24.5,7,0
5,9,42,9,0.8035714290000001,384,1.0,0,0.5,0,73.0,28,0
7,9,51,9,0.708333333,334,0.75,0,0.41666666700000005,0,46.14285714,23,0
25,32,86,21,0.868055556,740,1.0,2,0.333333333,0,28.12,11,3
8,10,29,8,0.5,167,1.0,1,0.270833333,0,19.625,6,1
10,7,11,3,0.851851852,46,0.666666667,1,0.26666666699999997,0,3.3,1,0
2,2,4,1,2.0,10,0.0,0,0.75,0,4.0,1,0
6,10,21,8,1.0,232,1.0,0,0.6,0,37.0,10,0
15,14,53,11,0.8,307,1.0,2,0.333333333,1,19.13333333,18,0
27,11,90,11,1.0307692309999998,845,1.0,0,0.164835165,2,29.74074074,11,0
3,7,13,7,2.0,41,0.0,0,0.5555555560000001,0,12.66666667,3,0
3,8,14,8,2.0,45,0.0,0,0.5555555560000001,0,14.0,3,0
4,5,9,5,0.666666667,30,1.0,0,0.666666667,0,6.25,1,0
4,8,25,8,0.666666667,218,1.0,0,0.666666667,0,51.5,14,0
2,8,4,2,2.0,9,0.0,0,0.75,0,3.5,1,0
4,10,31,10,2.0,456,0.0,0,0.4,0,113.0,18,0
4,11,29,11,0.666666667,191,1.0,0,0.666666667,0,46.25,14,0
3,11,31,11,2.0,225,0.0,0,0.5555555560000001,0,74.0,13,0
8,27,64,27,0.7857142859999999,313,1.0,1,0.333333333,0,37.875,2,1
2,5,2,2,2.0,2,0.0,0,0.75,0,0.0,1,0
7,13,50,12,0.625,488,0.75,1,0.270833333,0,68.14285714,39,2
12,15,28,14,0.590909091,117,1.0,1,0.21875,3,8.583333332999999,1,0
6,7,12,2,0.666666667,56,0.0,0,0.5555555560000001,0,7.833333333,1,0
6,12,56,11,0.7,606,1.0,0,0.4,4,99.33333333,15,1
9,10,12,2,0.9285714290000001,70,0.428571429,1,0.375,0,6.0,1,0
10,15,39,13,0.5,210,1.0,0,0.242857143,0,19.8,9,1
8,4,8,0,2.0,8,0.0,0,1.0,0,0.0,1,0
4,4,8,4,0.666666667,27,1.0,0,0.666666667,0,5.5,1,0
17,17,62,16,0.8888888890000001,329,0.8888888890000001,0,0.20535714300000002,0,17.82352941,12,0
14,30,69,29,0.8205128209999999,511,1.0,2,0.192307692,0,35.07142857,17,1
4,13,21,9,0.666666667,132,1.0,0,0.4,0,31.75,6,0
4,14,30,14,0.666666667,161,1.0,0,0.666666667,0,38.0,8,0
