wmc,dit,ce,npm,mfa,ic,cbm,bug
6,1,2,6,0.0,0,0,0
9,1,0,9,0.0,0,0,0
9,1,0,9,0.0,0,0,0
3,1,7,3,0.0,0,0,1
6,8,11,5,0.955357143,2,5,2
9,1,5,9,0.0,0,0,0
6,8,8,6,0.955357143,1,3,1
5,8,10,4,0.9639639640000001,2,4,2
7,1,3,7,0.0,0,0,0
24,1,3,24,0.0,0,0,0
7,4,12,7,0.7142857140000001,0,0,1
17,1,0,17,0.0,0,0,0
3,1,3,3,0.0,0,0,0
5,1,0,5,0.0,0,0,1
7,8,11,7,0.946902655,1,3,2
13,1,0,13,0.0,0,0,0
4,1,7,4,0.0,0,0,0
2,1,4,2,0.0,0,0,0
4,8,13,4,0.972727273,1,2,1
4,4,11,4,0.833333333,0,0,2
3,1,3,3,0.0,0,0,2
4,8,7,4,0.972727273,1,3,1
6,1,5,6,0.0,0,0,2
3,1,3,3,0.0,0,0,2
3,1,3,3,0.0,0,0,2
