wmc,rfc,loc,cam,amc,bug
3,26,230,0.666666667,75.66666667,0
2,3,31,0.75,12.0,0
5,9,88,0.8,14.8,1
6,13,225,0.41666666700000005,36.16666667,0
3,7,30,0.5555555560000001,8.666666667000001,1
8,52,509,0.291666667,60.75,1
1,1,1,1.0,0.0,0
6,26,184,0.433333333,29.5,0
2,2,2,0.833333333,0.0,0
5,26,430,0.6,85.0,1
2,20,81,0.75,39.5,0
7,41,217,0.333333333,29.28571429,0
4,7,48,0.625,8.5,0
5,22,167,0.44,32.2,0
2,3,51,1.0,21.5,0
7,51,590,0.333333333,81.0,1
6,9,116,0.4,17.16666667,0
2,2,2,0.75,0.0,0
5,11,64,0.6,11.6,0
2,3,16,0.666666667,6.5,0
4,10,55,0.333333333,11.25,1
3,25,172,0.5555555560000001,56.33333333,1
4,4,4,0.666666667,0.0,0
7,14,34,0.14285714300000002,3.857142857,0
1,2,5,1.0,4.0,0
4,9,114,0.5,25.75,3
13,75,390,0.240384615,28.46153846,1
1,1,1,1.0,0.0,0
2,3,16,0.666666667,6.5,0
32,167,2353,0.267857143,71.5625,2
2,20,72,1.0,35.0,0
2,3,16,0.666666667,6.5,0
2,3,16,0.666666667,6.5,0
7,50,693,0.333333333,95.14285714,2
2,2,2,0.666666667,0.0,0
3,16,168,0.666666667,55.0,0
4,10,151,0.75,36.25,0
1,2,8,1.0,7.0,0
1,2,40,1.0,30.0,0
6,49,540,0.4,86.5,1
6,9,92,0.4,13.5,0
13,35,215,0.33846153799999995,15.46153846,1
