rfc,ce,lcom3,dam,moa,amc,bug
16,2,0.8666666670000001,0.333333333,0,13.5,3
17,6,0.6875,1.0,2,9.111111111,3
12,8,2.0,0.0,0,11.4,0
31,11,0.5,1.0,0,39.42857143,2
20,8,0.5,0.333333333,0,11.57142857,1
12,6,0.25,1.0,0,9.6,1
20,4,0.9027777779999999,1.0,2,5.529411765,2
30,7,1.0,1.0,0,6.583333333,0
19,3,0.666666667,1.0,1,29.8,1
6,2,2.0,0.0,0,3.0,1
20,8,1.0,0.0,0,13.5,0
0,0,2.0,0.0,0,0.0,7
10,0,0.5,0.0,0,26.66666667,0
51,13,0.6759259259999999,1.0,3,45.61538462,7
22,9,2.0,0.0,0,37.75,1
39,11,0.7777777779999999,1.0,0,26.5,3
14,1,0.0,1.0,0,12.66666667,1
1,1,2.0,0.0,0,0.0,1
21,3,0.5555555560000001,0.333333333,0,49.0,2
9,4,0.8,1.0,0,3.5,0
5,1,2.0,0.0,0,0.0,2
21,9,2.0,0.0,0,41.5,1
21,9,2.0,0.0,0,29.8,1
6,2,2.0,0.0,0,3.0,1
30,8,0.333333333,1.0,1,26.5,0
49,12,0.902821317,0.9090909090000001,7,11.36666667,5
20,0,0.7,0.25,0,29.16666667,1
11,6,2.0,0.0,0,5.2,0
21,9,2.0,0.0,0,29.6,1
2,1,2.0,0.0,0,0.0,0
43,8,0.728571429,1.0,0,45.90909091,2
29,0,0.7098765429999999,0.666666667,0,16.52631579,0
14,5,2.0,0.0,0,23.5,1
6,3,2.0,0.0,0,4.666666667,0
54,8,0.571428571,1.0,0,50.25,2
5,2,2.0,0.0,0,0.0,0
6,2,2.0,0.0,0,3.0,1
42,14,0.523809524,1.0,1,26.0,6
35,15,2.0,0.0,0,25.33333333,2
17,4,0.75,1.0,1,6.230769231,1
19,0,1.12,0.0,0,28.83333333,0
17,2,0.5555555560000001,0.333333333,0,25.5,2
92,13,0.5,1.0,1,10.78378378,0
50,11,0.645833333,0.666666667,1,33.44444444,3
1,0,2.0,0.0,0,0.0,1
21,9,2.0,0.0,0,29.6,1
26,9,2.0,0.0,0,41.0,2
245,60,0.7615894040000001,0.7857142859999999,10,52.61184211,10
19,2,0.8,0.5,0,13.27272727,2
68,15,0.0,1.0,1,14.35714286,3
5,4,2.0,0.0,0,0.0,0
14,0,2.0,0.0,0,15.5,1
