wmc,cbo,rfc,ce,npm,lcom3,moa,cam,amc,bug
14,11,52,11,12,0.955128205,1,0.276923077,31.5,1
3,7,6,4,3,2.0,0,0.533333333,4.333333333,0
25,7,78,5,17,0.8787878790000001,3,0.261904762,19.76,0
18,10,62,10,6,1.019607843,1,0.33823529399999996,21.66666667,0
16,3,24,2,11,0.333333333,1,0.5,8.25,0
11,7,39,6,9,0.666666667,1,0.333333333,21.0,2
8,14,43,12,8,0.628571429,1,0.265625,45.375,0
3,5,6,3,3,2.0,0,0.533333333,4.666666667,0
4,4,17,3,4,0.333333333,1,0.583333333,28.0,0
3,2,6,2,1,2.0,0,0.666666667,3.0,0
8,18,41,15,8,0.642857143,1,0.28125,25.75,3
12,21,35,15,9,2.0,0,0.295454545,27.08333333,0
13,5,18,4,13,0.666666667,1,0.46153846200000004,6.846153846,0
6,2,19,0,4,1.12,0,0.5,28.83333333,0
4,4,18,3,2,0.5555555560000001,0,0.45,27.25,1
37,16,92,13,34,0.5,1,0.177777778,10.78378378,0
9,12,51,11,6,0.7142857140000001,1,0.37777777799999995,33.33333333,2
1,7,1,0,1,2.0,0,1.0,0.0,0
5,11,18,9,5,2.0,0,0.4,24.8,1
6,11,24,9,5,2.0,0,0.333333333,33.5,0
153,68,250,61,50,0.7434210529999999,10,0.145559211,52.88235294,11
12,3,19,2,9,0.818181818,0,0.36111111100000004,11.91666667,2
9,5,19,4,8,0.75,0,0.333333333,28.0,0
5,9,8,9,5,2.0,0,0.44,3.4,5
4,38,7,1,4,0.666666667,0,0.666666667,7.25,0
4,7,10,5,4,2.0,0,0.39285714299999996,6.0,1
89,5,123,4,10,0.80815508,1,0.33901515200000004,146.6516854,9
5,6,9,4,4,0.25,1,0.433333333,6.2,2
3,9,14,6,3,2.0,0,0.533333333,15.0,0
7,21,44,18,6,0.5,1,0.387755102,59.42857143,3
7,8,13,7,7,0.166666667,1,0.47619047600000003,9.0,2
19,1,29,0,14,0.7098765429999999,0,0.305555556,16.52631579,0
2,6,13,5,2,2.0,0,0.5,25.5,1
3,5,6,3,3,2.0,0,0.533333333,4.666666667,0
9,9,55,9,6,0.583333333,0,0.37777777799999995,51.55555556,1
5,4,5,2,5,2.0,0,0.5,0.0,0
43,44,52,44,41,0.011904762,0,0.06760411,6.860465116,1
1,8,1,1,1,2.0,0,1.0,0.0,0
4,9,19,7,4,2.0,0,0.41666666700000005,32.25,0
5,16,18,1,4,0.666666667,1,0.4,75.4,0
5,6,6,1,4,0.625,1,0.46666666700000003,4.6,0
3,5,15,4,2,0.25,1,0.611111111,37.0,0
10,9,46,8,8,0.5555555560000001,1,0.385714286,28.2,3
20,8,27,3,17,0.473684211,1,0.316666667,5.4,0
