wmc,cbo,rfc,lcom,ce,lcom3,loc,dam,moa,cam,ic,cbm,amc,max_cc,bug
34,14,74,0,14,0.672727273,2890,1.0,2,0.160839161,1,3,83.55882353,2,0
46,13,61,833,2,0.9037037040000001,579,1.0,1,0.220496894,0,0,11.19565217,12,0
4,0,4,6,0,2.0,4,0.0,0,0.75,0,0,0.0,1,0
4,0,4,6,0,2.0,4,0.0,0,0.5,0,0,0.0,1,0
41,11,75,280,9,0.903947368,1225,1.0,10,0.306620209,1,7,28.41463415,3,0
17,0,37,136,0,2.0,254,0.0,0,0.308823529,0,0,13.94117647,1,0
2,2,2,1,1,2.0,2,0.0,0,0.75,0,0,0.0,1,0
2,0,2,1,0,2.0,2,0.0,0,0.75,0,0,0.0,1,0
4,2,4,6,1,2.0,4,0.0,0,0.75,0,0,0.0,1,0
3,0,5,1,0,0.5,14,0.0,0,0.5,0,0,3.333333333,1,5
4,2,6,6,2,1.333333333,16,0.0,0,0.625,2,5,2.75,1,0
9,8,11,20,2,0.825,77,1.0,3,0.518518519,0,0,7.0,1,0
3,28,3,3,1,1.5,17,0.0,0,0.666666667,0,0,0.0,1,0
1,0,1,0,0,2.0,1,0.0,0,1.0,0,0,0.0,1,0
3,2,14,3,2,2.0,60,0.0,0,0.666666667,0,0,19.0,3,0
7,3,10,21,3,2.0,39,0.0,0,0.571428571,1,6,4.571428571,1,0
12,3,22,66,3,2.0,97,0.0,0,0.316666667,1,1,7.083333333,3,0
17,8,54,134,3,0.9375,867,0.0,1,0.2125,0,0,49.88235294,19,0
32,16,77,236,11,0.650537634,1240,0.833333333,3,0.180555556,2,25,37.5625,11,0
20,0,47,152,0,0.9157894740000001,325,0.9,0,0.35526315799999997,0,0,14.75,10,2
18,6,35,0,1,0.6806722690000001,2128,0.14285714300000002,1,0.36111111100000004,1,7,116.83333329999999,17,0
2,11,3,0,0,1.0,13,0.5,0,0.75,0,0,4.5,1,0
0,8,0,0,0,2.0,0,0.0,0,0.0,0,0,0.0,0,0
10,7,29,37,6,0.6984126979999999,228,1.0,3,0.26388888899999996,0,0,21.1,1,0
0,2,0,0,1,2.0,0,0.0,0,0.0,0,0,0.0,0,0
4,0,4,6,0,2.0,4,0.0,0,0.5,0,0,0.0,1,0
3,2,6,3,2,2.0,17,0.0,0,0.5,0,0,4.666666667,1,0
3,10,13,0,5,0.166666667,167,1.0,2,0.5,0,0,53.66666667,1,1
15,9,27,57,4,0.8214285709999999,200,0.875,3,0.38333333299999994,2,8,11.8,2,0
